NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,20,20,0,2023-03-07 12:18:29.790614,2023-03-07 12:21:37.459405,187.66879105567932,3.127813184261322,awake,0.30970340910758576,0.8485687903970452,0.019228958518596014,0.03760575339382718,0.006732330289404009,0.5055846981943547,"[[40369 328]
 [93747 1838]]",40369.0,328.0,93747.0,1838.0
LSTM,128,3,32,20,20,0,2023-03-07 12:18:29.790614,2023-03-07 12:21:37.459405,187.66879105567932,3.127813184261322,asleep,0.3080083943587561,0.2992782367502759,0.991894429891761,0.45981830887491265,0.006639125281712843,0.5055385149375311,"[[1838 93978]
 [328 40138]]",1838.0,93978.0,328.0,40138.0
LSTM,128,3,32,20,20,0,2023-03-07 12:18:29.790614,2023-03-07 12:21:37.459405,187.66879105567932,3.127813184261322,avg,0.3088559017331709,0.5739235135736606,0.5055616942051785,0.2487120311343699,0.006685727785558426,0.505561606565943,,,,,
LSTM,128,3,32,20,20,1,2023-03-07 12:21:38.184884,2023-03-07 12:23:34.210579,116.02569484710693,1.9337615807851156,awake,0.333727124638617,0.8723536737235368,0.058628445885860754,0.10987265829485633,0.023621161164696924,0.519239770280572,"[[39877 820]
 [89981 5604]]",39877.0,820.0,89981.0,5604.0
LSTM,128,3,32,20,20,1,2023-03-07 12:21:38.184884,2023-03-07 12:23:34.210579,116.02569484710693,1.9337615807851156,asleep,0.3320761362468998,0.30532581743134807,0.979810211041368,0.4655714990253869,0.023398864117857743,0.5191643106638751,"[[5607 90209]
 [817 39649]]",5607.0,90209.0,817.0,39649.0
LSTM,128,3,32,20,20,1,2023-03-07 12:21:38.184884,2023-03-07 12:23:34.210579,116.02569484710693,1.9337615807851156,avg,0.3329016304427584,0.5888397455774425,0.5192193284636144,0.2877220786601216,0.023510012641277334,0.5192020404722235,,,,,
LSTM,128,3,32,20,20,2,2023-03-07 12:23:34.930591,2023-03-07 12:25:30.627917,115.69732594490051,1.9282887657483418,awake,0.34787426072408684,0.8759802823213085,0.08180153789820578,0.14963018246883103,0.03388438771605162,0.5273002578549191,"[[39590 1107]
 [87766 7819]]",39590.0,1107.0,87766.0,7819.0
LSTM,128,3,32,20,20,2,2023-03-07 12:23:34.930591,2023-03-07 12:25:30.627917,115.69732594490051,1.9282887657483418,asleep,0.34625262323711126,0.3090863406514024,0.972767261404636,0.4691160872829547,0.03359085099222103,0.5272118848561127,"[[7824 87992]
 [1102 39364]]",7824.0,87992.0,1102.0,39364.0
LSTM,128,3,32,20,20,2,2023-03-07 12:23:34.930591,2023-03-07 12:25:30.627917,115.69732594490051,1.9282887657483418,avg,0.347063441980599,0.5925333114863555,0.5272843996514209,0.30937313487589285,0.03373761935413633,0.5272560713555159,,,,,
LSTM,128,3,32,20,20,3,2023-03-07 12:25:31.351321,2023-03-07 12:27:27.225133,115.87381196022034,1.9312301993370056,awake,0.35427275795776403,0.8775388291517324,0.09221112099178741,0.16688598774957633,0.03865804530446115,0.5309938815023562,"[[39467 1230]
 [86771 8814]]",39467.0,1230.0,86771.0,8814.0
LSTM,128,3,32,20,20,3,2023-03-07 12:25:31.351321,2023-03-07 12:27:27.225133,115.87381196022034,1.9312301993370056,asleep,0.35266579592315933,0.31085726960186316,0.9697523847180349,0.4707985411267876,0.038334694018881454,0.5309019083145989,"[[8820 86996]
 [1224 39242]]",8820.0,86996.0,1224.0,39242.0
LSTM,128,3,32,20,20,3,2023-03-07 12:25:31.351321,2023-03-07 12:27:27.225133,115.87381196022034,1.9312301993370056,avg,0.3534692769404617,0.5941980493767978,0.5309817528549112,0.318842264438182,0.038496369661671304,0.5309478949084776,,,,,
LSTM,128,3,32,20,20,4,2023-03-07 12:27:27.952934,2023-03-07 12:29:23.592871,115.63993692398071,1.9273322820663452,awake,0.35896156499024084,0.8763386727688787,0.10016215933462363,0.17977654680311708,0.04192493810407216,0.5334828046101823,"[[39346 1351]
 [86011 9574]]",39346.0,1351.0,86011.0,9574.0
LSTM,128,3,32,20,20,4,2023-03-07 12:27:27.952934,2023-03-07 12:29:23.592871,115.63993692398071,1.9273322820663452,asleep,0.3573546029556361,0.31207670891932643,0.9667622201354223,0.47184045639024746,0.04156196587574901,0.5333727607314834,"[[9580 86236]
 [1345 39121]]",9580.0,86236.0,1345.0,39121.0
LSTM,128,3,32,20,20,4,2023-03-07 12:27:27.952934,2023-03-07 12:29:23.592871,115.63993692398071,1.9273322820663452,avg,0.35815808397293847,0.5942076908441025,0.533462189735023,0.3258085015966823,0.041743451989910585,0.5334277826708329,,,,,
LSTM,128,3,32,20,20,5,2023-03-07 12:29:24.321124,2023-03-07 12:31:19.524433,115.20330882072449,1.9200551470120748,awake,0.3638851792606507,0.8688619774386198,0.1095883245279071,0.19462844083574102,0.0445104681746159,0.5353701260942113,"[[39116 1581]
 [85110 10475]]",39116.0,1581.0,85110.0,10475.0
LSTM,128,3,32,20,20,5,2023-03-07 12:29:24.321124,2023-03-07 12:31:19.524433,115.20330882072449,1.9200551470120748,asleep,0.3622928926784168,0.31307455766103715,0.9611031483220481,0.472299808126685,0.0441218502503502,0.5352501631232016,"[[10482 85334]
 [1574 38892]]",10482.0,85334.0,1574.0,38892.0
LSTM,128,3,32,20,20,5,2023-03-07 12:29:24.321124,2023-03-07 12:31:19.524433,115.20330882072449,1.9200551470120748,avg,0.3630890359695338,0.5909682675498285,0.5353457364249776,0.333464124481213,0.04431615921248305,0.5353101446087065,,,,,
LSTM,128,3,32,20,20,6,2023-03-07 12:31:20.250340,2023-03-07 12:33:15.339600,115.08926010131836,1.9181543350219727,awake,0.3679576172935531,0.862169413568417,0.11766490558141968,0.20706987020160178,0.04644121774861887,0.5367423724408069,"[[38899 1798]
 [84338 11247]]",38899.0,1798.0,84338.0,11247.0
LSTM,128,3,32,20,20,6,2023-03-07 12:31:20.250340,2023-03-07 12:33:15.339600,115.08926010131836,1.9181543350219727,asleep,0.36638000616369,0.3138343192385404,0.9557653338605249,0.472514248364416,0.046033595561579155,0.5366150289574813,"[[11255 84561]
 [1790 38676]]",11255.0,84561.0,1790.0,38676.0
LSTM,128,3,32,20,20,6,2023-03-07 12:31:20.250340,2023-03-07 12:33:15.339600,115.08926010131836,1.9181543350219727,avg,0.36716881172862154,0.5880018664034787,0.5367151197209723,0.33979205928300893,0.04623740665509901,0.536678700699144,,,,,
LSTM,128,3,32,20,20,7,2023-03-07 12:33:16.069375,2023-03-07 12:35:10.378407,114.30903196334839,1.9051505327224731,awake,0.37142836177925187,0.8570092112838227,0.12459067845373228,0.217553730784337,0.04806558922301274,0.5378832203974684,"[[38710 1987]
 [83676 11909]]",38710.0,1987.0,83676.0,11909.0
LSTM,128,3,32,20,20,7,2023-03-07 12:33:16.069375,2023-03-07 12:35:10.378407,114.30903196334839,1.9051505327224731,asleep,0.36985075064938877,0.3144722435572696,0.951094746206692,0.4726622945987768,0.0476225844055439,0.5377342729948047,"[[11917 83899]
 [1979 38487]]",11917.0,83899.0,1979.0,38487.0
LSTM,128,3,32,20,20,7,2023-03-07 12:33:16.069375,2023-03-07 12:35:10.378407,114.30903196334839,1.9051505327224731,avg,0.3706395562143203,0.5857407274205462,0.5378427123302121,0.3451080126915569,0.04784408681427832,0.5378087466961365,,,,,
LSTM,128,3,32,20,20,8,2023-03-07 12:35:11.107900,2023-03-07 12:37:04.563799,113.45589900016785,1.8909316500027975,awake,0.3759924274665767,0.8567465150899987,0.13245802165611759,0.22944283863251272,0.05123234304371782,0.5402197226741409,"[[38580 2117]
 [82924 12661]]",38580.0,2117.0,82924.0,12661.0
LSTM,128,3,32,20,20,8,2023-03-07 12:35:11.107900,2023-03-07 12:37:04.563799,113.45589900016785,1.8909316500027975,asleep,0.3744294917890844,0.315693310508296,0.9479068847921712,0.473643267271717,0.05077177020464918,0.5400697486497384,"[[12670 83146]
 [2108 38358]]",12670.0,83146.0,2108.0,38358.0
LSTM,128,3,32,20,20,8,2023-03-07 12:35:11.107900,2023-03-07 12:37:04.563799,113.45589900016785,1.8909316500027975,avg,0.3752109596278306,0.5862199127991473,0.5401824532241444,0.35154305295211485,0.0510020566241835,0.5401447356619397,,,,,
LSTM,128,3,32,20,20,9,2023-03-07 12:37:05.295744,2023-03-07 12:38:57.886396,112.59065198898315,1.8765108664830525,awake,0.3796612905592815,0.853974358974359,0.13937333263587384,0.23963664163331388,0.05331402059681356,0.54169934538519,"[[38419 2278]
 [82263 13322]]",38419.0,2278.0,82263.0,13322.0
LSTM,128,3,32,20,20,9,2023-03-07 12:37:05.295744,2023-03-07 12:38:57.886396,112.59065198898315,1.8765108664830525,asleep,0.3780983548817892,0.316509504317131,0.9439282360500173,0.4740611115248095,0.052818039004057016,0.541529743807759,"[[13331 82485]
 [2269 38197]]",13331.0,82485.0,2269.0,38197.0
LSTM,128,3,32,20,20,9,2023-03-07 12:37:05.295744,2023-03-07 12:38:57.886396,112.59065198898315,1.8765108664830525,avg,0.37887982272053533,0.585241931645745,0.5416507843429456,0.3568488765790617,0.05306602980043529,0.5416145445964745,,,,,
LSTM,128,3,32,20,20,10,2023-03-07 12:38:58.611687,2023-03-07 12:40:49.435682,110.8239951133728,1.84706658522288,awake,0.38312469731879484,0.8495628946090336,0.14640372443375008,0.24976574421945977,0.0548825632804153,0.5427573577079432,"[[38219 2478]
 [81591 13994]]",38219.0,2478.0,81591.0,13994.0
LSTM,128,3,32,20,20,10,2023-03-07 12:38:58.611687,2023-03-07 12:40:49.435682,110.8239951133728,1.84706658522288,asleep,0.38156176164130257,0.31714381103413736,0.9389858152523106,0.47414460056402696,0.05435012875826761,0.542565254624569,"[[14003 81813]
 [2469 37997]]",14003.0,81813.0,2469.0,37997.0
LSTM,128,3,32,20,20,10,2023-03-07 12:38:58.611687,2023-03-07 12:40:49.435682,110.8239951133728,1.84706658522288,avg,0.38234322948004873,0.5833533528215855,0.5426947698430303,0.36195517239174335,0.054616346019341455,0.5426613061662561,,,,,
LSTM,128,3,32,20,20,11,2023-03-07 12:40:50.159988,2023-03-07 12:42:41.231787,111.0717990398407,1.8511966506640116,awake,0.38796759660116525,0.845124716553288,0.15596589423026624,0.26333406933097814,0.05731702212701273,0.5444178194644463,"[[37965 2732]
 [80677 14908]]",37965.0,2732.0,80677.0,14908.0
LSTM,128,3,32,20,20,11,2023-03-07 12:40:50.159988,2023-03-07 12:42:41.231787,111.0717990398407,1.8511966506640116,asleep,0.3864193363760438,0.31813354461320614,0.9327336529432115,0.4744450310480932,0.05675738453356449,0.5442139501252753,"[[14918 80898]
 [2722 37744]]",14918.0,80898.0,2722.0,37744.0
LSTM,128,3,32,20,20,11,2023-03-07 12:40:50.159988,2023-03-07 12:42:41.231787,111.0717990398407,1.8511966506640116,avg,0.38719346648860453,0.5816291305832471,0.5443497735867389,0.3688895501895357,0.05703720333028861,0.5443158847948608,,,,,
LSTM,128,3,32,20,20,12,2023-03-07 12:42:41.956751,2023-03-07 12:44:33.077223,111.1204719543457,1.8520078659057617,awake,0.3927738072526086,0.841995841995842,0.16524559292776064,0.2762716014832436,0.05993148974582563,0.546207335864819,"[[37733 2964]
 [79790 15795]]",37733.0,2964.0,79790.0,15795.0
LSTM,128,3,32,20,20,12,2023-03-07 12:42:41.956751,2023-03-07 12:44:33.077223,111.1204719543457,1.8520078659057617,asleep,0.3912989242893412,0.3192311292257686,0.9271240053378145,0.4749317990493009,0.05943684252459003,0.5460638812695584,"[[15810 80006]
 [2949 37517]]",15810.0,80006.0,2949.0,37517.0
LSTM,128,3,32,20,20,12,2023-03-07 12:42:41.956751,2023-03-07 12:44:33.077223,111.1204719543457,1.8520078659057617,avg,0.3920363657709749,0.5806134856108053,0.5461847991327875,0.37560170026627226,0.05968416613520783,0.5461356085671887,,,,,
