NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,1,32,120,20,0,2023-03-14 05:18:17.734776,2023-03-14 05:18:32.421389,14.686613082885742,0.24477688471476236,awake,0.2978075517661389,0.0,0.0,0.0,0.0,0.5,"[[40587 0]
 [95699 0]]",40587.0,0.0,95699.0,0.0
MLP,12,1,32,120,20,0,2023-03-14 05:18:17.734776,2023-03-14 05:18:32.421389,14.686613082885742,0.24477688471476236,asleep,0.2978075517661389,0.2978075517661389,1.0,0.45893946503988736,0.0,0.5,"[[0 95699]
 [0 40587]]",0.0,95699.0,0.0,40587.0
MLP,12,1,32,120,20,0,2023-03-14 05:18:17.734776,2023-03-14 05:18:32.421389,14.686613082885742,0.24477688471476236,avg,0.2978075517661389,0.14890377588306944,0.5,0.22946973251994368,0.0,0.5,,,,,
MLP,12,1,32,120,20,1,2023-03-14 05:18:33.108298,2023-03-14 05:18:40.016063,6.907764911651611,0.11512941519419352,awake,0.29780021425531605,0.0,0.0,0.0,-1.4675083656712218e-05,0.49998768078448763,"[[40586 1]
 [95699 0]]",40586.0,1.0,95699.0,0.0
MLP,12,1,32,120,20,1,2023-03-14 05:18:33.108298,2023-03-14 05:18:40.016063,6.907764911651611,0.11512941519419352,asleep,0.29780021425531605,0.29780239938364456,0.9999753615689753,0.4589307521823692,-1.4675083656712218e-05,0.49998768078448763,"[[0 95699]
 [1 40586]]",0.0,95699.0,1.0,40586.0
MLP,12,1,32,120,20,1,2023-03-14 05:18:33.108298,2023-03-14 05:18:40.016063,6.907764911651611,0.11512941519419352,avg,0.29780021425531605,0.14890119969182228,0.49998768078448763,0.2294653760911846,-1.4675083656712218e-05,0.49998768078448763,,,,,
MLP,12,1,32,120,20,2,2023-03-14 05:18:40.704609,2023-03-14 05:18:47.586786,6.882177114486694,0.11470295190811157,awake,0.2979836520258867,0.7608695652173914,0.0003657300494258038,0.0007311086740821976,5.6420069927454186e-05,0.5000473536540769,"[[40576 11]
 [95664 35]]",40576.0,11.0,95664.0,35.0
MLP,12,1,32,120,20,2,2023-03-14 05:18:40.704609,2023-03-14 05:18:47.586786,6.882177114486694,0.11470295190811157,asleep,0.2979836520258867,0.29782736347621847,0.9997289772587281,0.4589344387452143,5.6420069927454186e-05,0.5000473536540769,"[[35 95664]
 [11 40576]]",35.0,95664.0,11.0,40576.0
MLP,12,1,32,120,20,2,2023-03-14 05:18:40.704609,2023-03-14 05:18:47.586786,6.882177114486694,0.11470295190811157,avg,0.2979836520258867,0.5293484643468049,0.5000473536540769,0.22983277370964825,5.6420069927454186e-05,0.5000473536540769,,,,,
MLP,12,1,32,120,20,3,2023-03-14 05:18:48.271525,2023-03-14 05:18:55.164036,6.8925111293792725,0.11487518548965454,awake,0.2981083897098748,0.7887323943661971,0.0005851680790812861,0.001169468518325154,0.00012844815795287623,0.5001077958068553,"[[40572 15]
 [95643 56]]",40572.0,15.0,95643.0,56.0
MLP,12,1,32,120,20,3,2023-03-14 05:18:48.271525,2023-03-14 05:18:55.164036,6.8925111293792725,0.11487518548965454,asleep,0.2981083897098748,0.2978526593987446,0.9996304235346293,0.45895408422981643,0.00012844815795287623,0.5001077958068553,"[[56 95643]
 [15 40572]]",56.0,95643.0,15.0,40572.0
MLP,12,1,32,120,20,3,2023-03-14 05:18:48.271525,2023-03-14 05:18:55.164036,6.8925111293792725,0.11487518548965454,avg,0.2981083897098748,0.5432925268824709,0.5001077958068553,0.2300617763740708,0.00012844815795287623,0.5001077958068553,,,,,
MLP,12,1,32,120,20,4,2023-03-14 05:18:55.850469,2023-03-14 05:19:02.944443,7.093973875045776,0.11823289791742961,awake,0.3002436053593179,0.7804054054054054,0.00482763665242061,0.009595912390566097,0.000970087212534998,0.5008123203096041,"[[40457 130]
 [95237 462]]",40457.0,130.0,95237.0,462.0
MLP,12,1,32,120,20,4,2023-03-14 05:18:55.850469,2023-03-14 05:19:02.944443,7.093973875045776,0.11823289791742961,asleep,0.3002436053593179,0.2981487759222958,0.9967970039667874,0.45900579188908625,0.000970087212534998,0.500812320309604,"[[462 95237]
 [130 40457]]",462.0,95237.0,130.0,40457.0
MLP,12,1,32,120,20,4,2023-03-14 05:18:55.850469,2023-03-14 05:19:02.944443,7.093973875045776,0.11823289791742961,avg,0.3002436053593179,0.5392770906638505,0.500812320309604,0.23430085213982618,0.000970087212534998,0.500812320309604,,,,,
MLP,12,1,32,120,20,5,2023-03-14 05:19:03.631698,2023-03-14 05:19:10.480654,6.848956108093262,0.11414926846822103,awake,0.3021293456407848,0.7942057942057942,0.008307296836957544,0.016442605997931747,0.001933073554486131,0.5016158900229334,"[[40381 206]
 [94904 795]]",40381.0,206.0,94904.0,795.0
MLP,12,1,32,120,20,5,2023-03-14 05:19:03.631698,2023-03-14 05:19:10.480654,6.848956108093262,0.11414926846822103,asleep,0.3021293456407848,0.29848837639058284,0.9949244832089092,0.4592089701601164,0.001933073554486131,0.5016158900229334,"[[795 94904]
 [206 40381]]",795.0,94904.0,206.0,40381.0
MLP,12,1,32,120,20,5,2023-03-14 05:19:03.631698,2023-03-14 05:19:10.480654,6.848956108093262,0.11414926846822103,avg,0.3021293456407848,0.5463470852981885,0.5016158900229334,0.23782578807902408,0.001933073554486131,0.5016158900229334,,,,,
MLP,12,1,32,120,20,6,2023-03-14 05:19:11.166731,2023-03-14 05:19:18.598172,7.431440830230713,0.12385734717051188,awake,0.30353081020794503,0.8186274509803921,0.010470328843561584,0.02067620688587848,0.0029939160987293434,0.5025002985780378,"[[40365 222]
 [94697 1002]]",40365.0,222.0,94697.0,1002.0
MLP,12,1,32,120,20,6,2023-03-14 05:19:11.166731,2023-03-14 05:19:18.598172,7.431440830230713,0.12385734717051188,asleep,0.30353081020794503,0.2988627445173328,0.9945302683125139,0.45960978997887836,0.0029939160987293434,0.5025002985780377,"[[1002 94697]
 [222 40365]]",1002.0,94697.0,222.0,40365.0
MLP,12,1,32,120,20,6,2023-03-14 05:19:11.166731,2023-03-14 05:19:18.598172,7.431440830230713,0.12385734717051188,avg,0.30353081020794503,0.5587450977488625,0.5025002985780378,0.2401429984323784,0.0029939160987293434,0.5025002985780378,,,,,
MLP,12,1,32,120,20,7,2023-03-14 05:19:19.285459,2023-03-14 05:19:26.148122,6.86266303062439,0.11437771717707317,awake,0.3072362531734734,0.8493746601413812,0.016322009634374444,0.032028542721810986,0.005700955809328279,0.5047485821202645,"[[40310 277]
 [94137 1562]]",40310.0,277.0,94137.0,1562.0
MLP,12,1,32,120,20,7,2023-03-14 05:19:19.285459,2023-03-14 05:19:26.148122,6.86266303062439,0.11437771717707317,asleep,0.3072362531734734,0.29982074720893737,0.9931751546061547,0.4605962270187507,0.005700955809328279,0.5047485821202645,"[[1562 94137]
 [277 40310]]",1562.0,94137.0,277.0,40310.0
MLP,12,1,32,120,20,7,2023-03-14 05:19:19.285459,2023-03-14 05:19:26.148122,6.86266303062439,0.11437771717707317,avg,0.3072362531734734,0.5745977036751593,0.5047485821202645,0.24631238487028084,0.005700955809328279,0.5047485821202645,,,,,
