NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,120,20,0,2023-03-13 19:26:00.698095,2023-03-13 19:27:54.892752,114.19465684890747,1.9032442808151244,awake,0.3099088654407772,0.8479638009049774,0.019605586650625097,0.038325067743749684,0.006842137319972297,0.5056747249173218,"[[40361 336]
 [93711 1874]]",40361.0,336.0,93711.0,1874.0
LSTM,128,3,32,120,20,0,2023-03-13 19:26:00.698095,2023-03-13 19:27:54.892752,114.19465684890747,1.9032442808151244,asleep,0.30821385069194757,0.29931678501103887,0.9916967330598527,0.4598425557758196,0.006747095309063034,0.5056275265867018,"[[1874 93942]
 [336 40130]]",1874.0,93942.0,336.0,40130.0
LSTM,128,3,32,120,20,0,2023-03-13 19:26:00.698095,2023-03-13 19:27:54.892752,114.19465684890747,1.9032442808151244,avg,0.30906135806636237,0.5736402929580081,0.5056511598552389,0.24908381175978464,0.006794616314517665,0.5056511257520118,,,,,
LSTM,128,3,32,120,20,1,2023-03-13 19:27:55.579658,2023-03-13 19:29:39.820421,104.24076294898987,1.7373460491498312,awake,0.3327291938774013,0.8712460063897763,0.05705916200240624,0.10710393244636458,0.022852777227512,0.5186271311891777,"[[39891 806]
 [90131 5454]]",39891.0,806.0,90131.0,5454.0
LSTM,128,3,32,120,20,1,2023-03-13 19:27:55.579658,2023-03-13 19:29:39.820421,104.24076294898987,1.7373460491498312,asleep,0.3310635300333133,0.305040685422467,0.980131468393219,0.46527614846792736,0.022616744552822254,0.5185369707333047,"[[5456 90360]
 [804 39662]]",5456.0,90360.0,804.0,39662.0
LSTM,128,3,32,120,20,1,2023-03-13 19:27:55.579658,2023-03-13 19:29:39.820421,104.24076294898987,1.7373460491498312,avg,0.3318963619553573,0.5881433459061216,0.5185953151978127,0.28619004045714597,0.022734760890167127,0.5185820509612412,,,,,
LSTM,128,3,32,120,20,2,2023-03-13 19:29:40.511787,2023-03-13 19:31:24.397347,103.88556003570557,1.7314260005950928,awake,0.346480092748859,0.875258918296893,0.07957315478370038,0.14588348117957325,0.03281829783657575,0.5264686424089277,"[[39613 1084]
 [87979 7606]]",39613.0,1084.0,87979.0,7606.0
LSTM,128,3,32,120,20,2,2023-03-13 19:29:40.511787,2023-03-13 19:31:24.397347,103.88556003570557,1.7314260005950928,asleep,0.34485845526188347,0.30869490250172427,0.9733356397963723,0.4687310333337301,0.032535769575020246,0.5263845686666591,"[[7611 88205]
 [1079 39387]]",7611.0,88205.0,1079.0,39387.0
LSTM,128,3,32,120,20,2,2023-03-13 19:29:40.511787,2023-03-13 19:31:24.397347,103.88556003570557,1.7314260005950928,avg,0.34566927400537123,0.5919769103993087,0.5264543972900363,0.3073072572566517,0.032677033705798,0.5264266055377933,,,,,
LSTM,128,3,32,120,20,3,2023-03-13 19:31:25.091787,2023-03-13 19:33:09.186492,104.0947048664093,1.7349117477734883,awake,0.3535463230654085,0.8767743884022954,0.09111262227336925,0.16507136223203622,0.03804634066277701,0.5305183476504325,"[[39473 1224]
 [86876 8709]]",39473.0,1224.0,86876.0,8709.0
