NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,120,20,0,2023-03-14 01:55:00.908310,2023-03-14 01:56:56.392117,115.48380708694458,1.924730118115743,awake,0.3085146974655494,0.8400605449041373,0.01741905110634514,0.03413039244826632,0.005799791268757293,0.5048148895849195,"[[40380 317]
 [93920 1665]]",40380.0,317.0,93920.0,1665.0
LSTM,128,3,32,120,20,0,2023-03-14 01:55:00.908310,2023-03-14 01:56:56.392117,115.48380708694458,1.924730118115743,asleep,0.3068196827167197,0.2989501116902457,0.9921662630356348,0.45946007804721745,0.005715381893246052,0.5047716595298405,"[[1665 94151]
 [317 40149]]",1665.0,94151.0,317.0,40149.0
LSTM,128,3,32,120,20,0,2023-03-14 01:55:00.908310,2023-03-14 01:56:56.392117,115.48380708694458,1.924730118115743,avg,0.3076671900911345,0.5695053282971915,0.50479265707099,0.24679523524774188,0.005757586581001672,0.50479327455738,,,,,
LSTM,128,3,32,120,20,1,2023-03-14 01:56:57.083613,2023-03-14 01:58:42.000786,104.91717314720154,1.748619552453359,awake,0.33187067991370833,0.8680747359870025,0.05589789192864989,0.10503243562020838,0.022039969229800116,0.517972780645014,"[[39885 812]
 [90242 5343]]",39885.0,812.0,90242.0,5343.0
LSTM,128,3,32,120,20,1,2023-03-14 01:56:57.083613,2023-03-14 01:58:42.000786,104.91717314720154,1.748619552453359,asleep,0.33021969152199115,0.30475612286458614,0.9800079078732763,0.464931151922998,0.021831034565913843,0.5179011736076743,"[[5346 90470]
 [809 39657]]",5346.0,90470.0,809.0,39657.0
LSTM,128,3,32,120,20,1,2023-03-14 01:56:57.083613,2023-03-14 01:58:42.000786,104.91717314720154,1.748619552453359,avg,0.33104518571784974,0.5864154294257943,0.517952899900963,0.2849817937716032,0.02193550189785698,0.5179369771263441,,,,,
LSTM,128,3,32,120,20,2,2023-03-14 01:58:42.694115,2023-03-14 02:00:26.794153,104.10003805160522,1.7350006341934203,awake,0.3474486726053331,0.8784121929026387,0.0807971962127949,0.14798279314408347,0.03382072483012177,0.5272649518916888,"[[39628 1069]
 [87862 7723]]",39628.0,1069.0,87862.0,7723.0
LSTM,128,3,32,120,20,2,2023-03-14 01:58:42.694115,2023-03-14 02:00:26.794153,104.10003805160522,1.7350006341934203,asleep,0.34582703511835755,0.3090595340811044,0.9737063213562003,0.4691943127962086,0.0335322578052889,0.5271804546582287,"[[7728 88088]
 [1064 39402]]",7728.0,88088.0,1064.0,39402.0
LSTM,128,3,32,120,20,2,2023-03-14 01:58:42.694115,2023-03-14 02:00:26.794153,104.10003805160522,1.7350006341934203,avg,0.3466378538618453,0.5937358634918716,0.5272517587844976,0.30858855297014604,0.03367649131770534,0.5272227032749588,,,,,
LSTM,128,3,32,120,20,3,2023-03-14 02:00:27.490665,2023-03-14 02:02:11.662752,104.17208695411682,1.7362014492352804,awake,0.35433145976724734,0.8768115942028986,0.09240989695035833,0.16719825097720023,0.03861854354293004,0.5309581243849514,"[[39456 1241]
 [86752 8833]]",39456.0,1241.0,86752.0,8833.0
LSTM,128,3,32,120,20,3,2023-03-14 02:00:27.490665,2023-03-14 02:02:11.662752,104.17208695411682,1.7362014492352804,asleep,0.3527244977326426,0.3108440035496957,0.969480551574161,0.4707512869433745,0.03829416817714937,0.5308651401103668,"[[8839 86977]
 [1235 39231]]",8839.0,86977.0,1235.0,39231.0
LSTM,128,3,32,120,20,3,2023-03-14 02:00:27.490665,2023-03-14 02:02:11.662752,104.17208695411682,1.7362014492352804,avg,0.35352797874994496,0.5938277988762971,0.5309452242622597,0.31897476896028737,0.038456355860039704,0.530911632247659,,,,,
