NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,3,10,120,20,0,2023-03-07 11:36:33.535754,2023-03-07 11:37:00.679681,27.143927097320557,0.45239878495534264,awake,0.7009524089048031,0.7019532599666247,0.9977742714134944,0.8241213836912241,-0.0015992037177798846,0.49942918118929086,"[[44 40543]
 [213 95486]]",44.0,40543.0,213.0,95486.0
MLP,12,3,10,120,20,0,2023-03-07 11:36:33.535754,2023-03-07 11:37:00.679681,27.143927097320557,0.45239878495534264,asleep,0.7009524089048031,0.17120622568093385,0.0010840909650873432,0.0021545392224072077,-0.0015992037177798846,0.49942918118929086,"[[95486 213]
 [40543 44]]",95486.0,213.0,40543.0,44.0
MLP,12,3,10,120,20,0,2023-03-07 11:36:33.535754,2023-03-07 11:37:00.679681,27.143927097320557,0.45239878495534264,avg,0.7009524089048031,0.4365797428237793,0.49942918118929086,0.41313796145681564,-0.0015992037177798846,0.49942918118929086,,,,,
MLP,12,3,10,120,20,1,2023-03-07 11:37:01.398901,2023-03-07 11:37:19.801530,18.402628898620605,0.30671048164367676,awake,0.7068884551604714,0.7118881118881119,0.9786518145435167,0.824222583044016,0.06002907515382416,0.52237836249141,"[[2683 37904]
 [2043 93656]]",2683.0,37904.0,2043.0,93656.0
MLP,12,3,10,120,20,1,2023-03-07 11:37:01.398901,2023-03-07 11:37:19.801530,18.402628898620605,0.30671048164367676,asleep,0.7068884551604714,0.567710537452391,0.06610491043930322,0.11842076225365789,0.06002907515382416,0.5223783624914099,"[[93656 2043]
 [37904 2683]]",93656.0,2043.0,37904.0,2683.0
MLP,12,3,10,120,20,1,2023-03-07 11:37:01.398901,2023-03-07 11:37:19.801530,18.402628898620605,0.30671048164367676,avg,0.7068884551604714,0.6397993246702514,0.52237836249141,0.47132167264883695,0.06002907515382416,0.52237836249141,,,,,
MLP,12,3,10,120,20,2,2023-03-07 11:37:20.522864,2023-03-07 11:37:39.068880,18.546015977859497,0.3091002662976583,awake,0.7157081431695111,0.72453951933388,0.9601876717625053,0.825883167133285,0.12762598547345316,0.5497220419570897,"[[5652 34935]
 [3810 91889]]",5652.0,34935.0,3810.0,91889.0
MLP,12,3,10,120,20,2,2023-03-07 11:37:20.522864,2023-03-07 11:37:39.068880,18.546015977859497,0.3091002662976583,asleep,0.7157081431695111,0.5973367152821814,0.13925641215167417,0.2258586585146556,0.12762598547345316,0.5497220419570897,"[[91889 3810]
 [34935 5652]]",91889.0,3810.0,34935.0,5652.0
MLP,12,3,10,120,20,2,2023-03-07 11:37:20.522864,2023-03-07 11:37:39.068880,18.546015977859497,0.3091002662976583,avg,0.7157081431695111,0.6609381173080306,0.5497220419570897,0.5258709128239704,0.12762598547345316,0.5497220419570897,,,,,
MLP,12,3,10,120,20,3,2023-03-07 11:37:39.795047,2023-03-07 11:37:58.281361,18.486314058303833,0.30810523430506387,awake,0.7135435774767768,0.7458880508275976,0.897982215070168,0.8148991048399333,0.20502727269593102,0.5883214349798322,"[[11310 29277]
 [9763 85936]]",11310.0,29277.0,9763.0,85936.0
MLP,12,3,10,120,20,3,2023-03-07 11:37:39.795047,2023-03-07 11:37:58.281361,18.486314058303833,0.30810523430506387,asleep,0.7135435774767768,0.5367057371992597,0.27866065488949665,0.36685047032111584,0.20502727269593102,0.5883214349798324,"[[85936 9763]
 [29277 11310]]",85936.0,9763.0,29277.0,11310.0
MLP,12,3,10,120,20,3,2023-03-07 11:37:39.795047,2023-03-07 11:37:58.281361,18.486314058303833,0.30810523430506387,avg,0.7135435774767768,0.6412968940134287,0.5883214349798322,0.5908747875805246,0.20502727269593102,0.5883214349798322,,,,,
MLP,12,3,10,120,20,4,2023-03-07 11:37:59.006379,2023-03-07 11:38:17.682750,18.676371097564697,0.31127285162607826,awake,0.7218276271957501,0.7412134974037032,0.9277735399533955,0.8240666403693991,0.19780954742517942,0.5820034083091687,"[[9588 30999]
 [6912 88787]]",9588.0,30999.0,6912.0,88787.0
MLP,12,3,10,120,20,4,2023-03-07 11:37:59.006379,2023-03-07 11:38:17.682750,18.676371097564697,0.31127285162607826,asleep,0.7218276271957501,0.5810909090909091,0.23623327666494198,0.33590835041252826,0.19780954742517942,0.5820034083091687,"[[88787 6912]
 [30999 9588]]",88787.0,6912.0,30999.0,9588.0
MLP,12,3,10,120,20,4,2023-03-07 11:37:59.006379,2023-03-07 11:38:17.682750,18.676371097564697,0.31127285162607826,avg,0.7218276271957501,0.6611522032473062,0.5820034083091687,0.5799874953909637,0.19780954742517942,0.5820034083091687,,,,,
MLP,12,3,10,120,20,5,2023-03-07 11:38:18.411832,2023-03-07 11:38:37.132149,18.720316886901855,0.31200528144836426,awake,0.7231703916763277,0.7425991178366073,0.9271256752944127,0.8246660903995762,0.20377341427789653,0.5846976837802046,"[[9833 30754]
 [6974 88725]]",9833.0,30754.0,6974.0,88725.0
MLP,12,3,10,120,20,5,2023-03-07 11:38:18.411832,2023-03-07 11:38:37.132149,18.720316886901855,0.31200528144836426,asleep,0.7231703916763277,0.5850538466115309,0.2422696922659965,0.34264905739275886,0.20377341427789653,0.5846976837802047,"[[88725 6974]
 [30754 9833]]",88725.0,6974.0,30754.0,9833.0
MLP,12,3,10,120,20,5,2023-03-07 11:38:18.411832,2023-03-07 11:38:37.132149,18.720316886901855,0.31200528144836426,avg,0.7231703916763277,0.6638264822240691,0.5846976837802046,0.5836575738961676,0.20377341427789653,0.5846976837802047,,,,,
MLP,12,3,10,120,20,6,2023-03-07 11:38:37.854613,2023-03-07 11:38:56.639985,18.785372018814087,0.31308953364690145,awake,0.7226567659187297,0.7544137161336814,0.897052215801628,0.8195730624558455,0.2392140222595448,0.6042533111925084,"[[12641 27946]
 [9852 85847]]",12641.0,27946.0,9852.0,85847.0
