myFlowerExperiment | INFO flwr 2024-02-17 10:27:46,163 | app.py:146 | Starting Flower simulation, config: ServerConfig(num_rounds=200, round_timeout=None)
myFlowerExperiment | INFO flwr 2024-02-17 10:27:49,751 | app.py:180 | Flower VCE: Ray initialized with resources: {'CPU': 8.0, 'node:__internal_head__': 1.0, 'node:10.17.0.243': 1.0, 'memory': 18943399527.0, 'object_store_memory': 9471699763.0}
myFlowerExperiment | INFO flwr 2024-02-17 10:27:49,752 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2024-02-17 10:27:49,752 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-02-17 10:27:52,480 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-02-17 10:27:52,480 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2024-02-17 10:28:03,840 | server.py:91 | initial parameters (loss, other metrics): 0.7710262537002563, {'accuracy': 0.3276347815990448}
myFlowerExperiment | INFO flwr 2024-02-17 10:28:03,840 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2024-02-17 10:28:03,840 | server.py:218 | fit_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:29:04,113 | server.py:232 | fit_round 1 received 19 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-02-17 10:29:04,122 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2024-02-17 10:29:14,707 | server.py:119 | fit progress: (1, 0.7075286507606506, {'accuracy': 0.7023604512214661}, 70.86668245700275)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:29:14,707 | server.py:168 | evaluate_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:29:15,570 | server.py:182 | evaluate_round 1 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:29:15,570 | server.py:218 | fit_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:30:13,440 | server.py:232 | fit_round 2 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:30:24,222 | server.py:119 | fit progress: (2, 0.836997926235199, {'accuracy': 0.7330081462860107}, 140.3814864399974)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:30:24,222 | server.py:168 | evaluate_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:30:24,960 | server.py:182 | evaluate_round 2 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:30:24,960 | server.py:218 | fit_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:31:22,174 | server.py:232 | fit_round 3 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:31:32,810 | server.py:119 | fit progress: (3, 0.8831676244735718, {'accuracy': 0.7450329065322876}, 208.97006170399982)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:31:32,810 | server.py:168 | evaluate_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:31:33,479 | server.py:182 | evaluate_round 3 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:31:33,480 | server.py:218 | fit_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:32:29,965 | server.py:232 | fit_round 4 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:32:40,651 | server.py:119 | fit progress: (4, 0.9213667511940002, {'accuracy': 0.748947262763977}, 276.81078278899804)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:32:40,651 | server.py:168 | evaluate_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:32:41,320 | server.py:182 | evaluate_round 4 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:32:41,320 | server.py:218 | fit_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:33:39,658 | server.py:232 | fit_round 5 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:33:50,084 | server.py:119 | fit progress: (5, 0.9889775514602661, {'accuracy': 0.7487990260124207}, 346.2439016319986)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:33:50,084 | server.py:168 | evaluate_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:33:50,735 | server.py:182 | evaluate_round 5 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:33:50,736 | server.py:218 | fit_round 6: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:34:47,793 | server.py:232 | fit_round 6 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:34:58,328 | server.py:119 | fit progress: (6, 1.0707539319992065, {'accuracy': 0.7490510940551758}, 414.4880201909982)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:34:58,328 | server.py:168 | evaluate_round 6: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:34:58,982 | server.py:182 | evaluate_round 6 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:34:58,982 | server.py:218 | fit_round 7: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:35:56,942 | server.py:232 | fit_round 7 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:36:07,399 | server.py:119 | fit progress: (7, 1.1592222452163696, {'accuracy': 0.7507413625717163}, 483.55934356099897)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:36:07,400 | server.py:168 | evaluate_round 7: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:36:08,110 | server.py:182 | evaluate_round 7 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:36:08,111 | server.py:218 | fit_round 8: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:37:05,548 | server.py:232 | fit_round 8 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:37:16,022 | server.py:119 | fit progress: (8, 1.1721394062042236, {'accuracy': 0.751771867275238}, 552.1819822319958)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:37:16,022 | server.py:168 | evaluate_round 8: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:37:16,706 | server.py:182 | evaluate_round 8 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:37:16,706 | server.py:218 | fit_round 9: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:38:13,590 | server.py:232 | fit_round 9 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:38:24,142 | server.py:119 | fit progress: (9, 1.1992253065109253, {'accuracy': 0.7513863444328308}, 620.3014660789995)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:38:24,142 | server.py:168 | evaluate_round 9: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:38:24,801 | server.py:182 | evaluate_round 9 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:38:24,802 | server.py:218 | fit_round 10: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:39:23,648 | server.py:232 | fit_round 10 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:39:35,013 | server.py:119 | fit progress: (10, 1.242714285850525, {'accuracy': 0.7511194348335266}, 691.1730930659978)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:39:35,013 | server.py:168 | evaluate_round 10: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:39:35,679 | server.py:182 | evaluate_round 10 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:39:35,680 | server.py:218 | fit_round 11: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:40:34,065 | server.py:232 | fit_round 11 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:40:44,458 | server.py:119 | fit progress: (11, 1.2770168781280518, {'accuracy': 0.7507265210151672}, 760.6178370679991)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:40:44,458 | server.py:168 | evaluate_round 11: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:40:45,117 | server.py:182 | evaluate_round 11 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:40:45,118 | server.py:218 | fit_round 12: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:41:41,369 | server.py:232 | fit_round 12 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:41:51,869 | server.py:119 | fit progress: (12, 1.314666509628296, {'accuracy': 0.7493253946304321}, 828.0292062399967)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:41:51,870 | server.py:168 | evaluate_round 12: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:41:52,539 | server.py:182 | evaluate_round 12 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:41:52,539 | server.py:218 | fit_round 13: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:42:50,061 | server.py:232 | fit_round 13 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:43:00,548 | server.py:119 | fit progress: (13, 1.327651023864746, {'accuracy': 0.7490658760070801}, 896.7083867019974)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:43:00,549 | server.py:168 | evaluate_round 13: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:43:01,209 | server.py:182 | evaluate_round 13 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:43:01,210 | server.py:218 | fit_round 14: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:43:58,803 | server.py:232 | fit_round 14 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:44:09,445 | server.py:119 | fit progress: (14, 1.3373315334320068, {'accuracy': 0.7485988140106201}, 965.6047210819961)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:44:09,446 | server.py:168 | evaluate_round 14: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:44:10,206 | server.py:182 | evaluate_round 14 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 10:44:10,207 | server.py:218 | fit_round 15: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:45:08,629 | server.py:232 | fit_round 15 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 10:45:19,198 | server.py:119 | fit progress: (15, 1.3527448177337646, {'accuracy': 0.7496441602706909}, 1035.3578879089982)
myFlowerExperiment | DEBUG flwr 2024-02-17 10:45:19,198 | server.py:168 | evaluate_round 15: strategy sampled 19 clients (out of 19)
