NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,120,20,0,2023-03-15 00:27:52.310387,2023-03-15 00:29:53.664130,121.35374307632446,2.0225623846054077,awake,0.2033673378606803,0.9196771714066103,0.021826573145927015,0.04264114968950186,0.005148290870228944,0.5067741809366504,"[[25038 209]
 [107244 2393]]",25038.0,209.0,107244.0,2393.0
LSTM,128,3,32,120,20,0,2023-03-15 00:27:52.310387,2023-03-15 00:29:53.664130,121.35374307632446,2.0225623846054077,asleep,0.2016621689748228,0.18753874298846404,0.9916456809369628,0.3154247643023796,0.005055783210858977,0.506713280728068,"[[2393 107474]
 [209 24808]]",2393.0,107474.0,209.0,24808.0
LSTM,128,3,32,120,20,0,2023-03-15 00:27:52.310387,2023-03-15 00:29:53.664130,121.35374307632446,2.0225623846054077,avg,0.20251475341775155,0.5536079571975372,0.5067361270414449,0.17903295699594074,0.005102037040543961,0.5067437308323592,,,,,
LSTM,128,3,32,120,20,1,2023-03-15 00:29:54.346210,2023-03-15 00:31:46.583376,112.23716592788696,1.8706194321314493,awake,0.2418300169034133,0.9360066240832742,0.07217453961710006,0.13401529329076728,0.019959850854611716,0.5253731255537871,"[[24706 541]
 [101724 7913]]",24706.0,541.0,101724.0,7913.0
LSTM,128,3,32,120,20,1,2023-03-15 00:29:54.346210,2023-03-15 00:31:46.583376,112.23716592788696,1.8706194321314493,asleep,0.2401841582396726,0.19362493079174248,0.9785345964743974,0.32328141197910826,0.019722198516171296,0.5252972253308665,"[[7917 101950]
 [537 24480]]",7917.0,101950.0,537.0,24480.0
LSTM,128,3,32,120,20,1,2023-03-15 00:29:54.346210,2023-03-15 00:31:46.583376,112.23716592788696,1.8706194321314493,avg,0.24100708757154293,0.5648157774375083,0.5253545680457488,0.22864835263493777,0.019841024685391506,0.5253351754423268,,,,,
LSTM,128,3,32,120,20,2,2023-03-15 00:31:47.273012,2023-03-15 00:33:38.791399,111.51838707923889,1.8586397846539815,awake,0.2640787639749711,0.9374947279628849,0.10137088756532922,0.18295854871102624,0.02891739862038889,0.5360104328902814,"[[24506 741]
 [98523 11114]]",24506.0,741.0,98523.0,11114.0
LSTM,128,3,32,120,20,2,2023-03-15 00:31:47.273012,2023-03-15 00:33:38.791399,111.51838707923889,1.8586397846539815,asleep,0.262477387977818,0.19737622836892116,0.9706599512331614,0.328046688191508,0.028605792403600616,0.5359411691505809,"[[11121 98746]
 [734 24283]]",11121.0,98746.0,734.0,24283.0
LSTM,128,3,32,120,20,2,2023-03-15 00:31:47.273012,2023-03-15 00:33:38.791399,111.51838707923889,1.8586397846539815,avg,0.2632780759763945,0.567435478165903,0.5360154193992454,0.2555026184512671,0.028761595511994753,0.5359758010204312,,,,,
LSTM,128,3,32,120,20,3,2023-03-15 00:33:39.481275,2023-03-15 00:35:31.025598,111.5443229675293,1.8590720494588215,awake,0.27729011595148423,0.9345106170015014,0.11922070104070706,0.21146379343816732,0.033741548042852454,0.5414695813200525,"[[24331 916]
 [96566 13071]]",24331.0,916.0,96566.0,13071.0
LSTM,128,3,32,120,20,3,2023-03-15 00:33:39.481275,2023-03-15 00:35:31.025598,111.5443229675293,1.8590720494588215,asleep,0.27571839506538953,0.19942595763335733,0.9637446536355279,0.330468632208013,0.03338682309779062,0.541398845244589,"[[13080 96787]
 [907 24110]]",13080.0,96787.0,907.0,24110.0
LSTM,128,3,32,120,20,3,2023-03-15 00:33:39.481275,2023-03-15 00:35:31.025598,111.5443229675293,1.8590720494588215,avg,0.2765042555084369,0.5669682873174293,0.5414826773381175,0.27096621282309014,0.033564185570321536,0.5414342132823208,,,,,
LSTM,128,3,32,120,20,4,2023-03-15 00:35:31.711111,2023-03-15 00:37:23.229863,111.51875185966492,1.8586458643277486,awake,0.28896681593072565,0.9290088738907637,0.135592911152257,0.23664626429691418,0.03732351945694712,0.5452987330744452,"[[24111 1136]
 [94771 14866]]",24111.0,1136.0,94771.0,14866.0
LSTM,128,3,32,120,20,4,2023-03-15 00:35:31.711111,2023-03-15 00:37:23.229863,111.51875185966492,1.8586458643277486,asleep,0.28740992260016013,0.2009639810904931,0.9549906063876564,0.33205234226784064,0.03691150063391202,0.5451953405116762,"[[14876 94991]
 [1126 23891]]",14876.0,94991.0,1126.0,23891.0
LSTM,128,3,32,120,20,4,2023-03-15 00:35:31.711111,2023-03-15 00:37:23.229863,111.51875185966492,1.8586458643277486,avg,0.2881883692654429,0.5649864274906284,0.5452917587699567,0.2843493032823774,0.03711751004542957,0.5452470367930606,,,,,
LSTM,128,3,32,120,20,5,2023-03-15 00:37:23.917261,2023-03-15 00:39:15.990761,112.07350015640259,1.8678916692733765,awake,0.2957726639186264,0.9283541934729208,0.1447777666298786,0.2504911823884483,0.03992997848409652,0.548128575159515,"[[24022 1225]
 [93764 15873]]",24022.0,1225.0,93764.0,15873.0
LSTM,128,3,32,120,20,5,2023-03-15 00:37:23.917261,2023-03-15 00:39:15.990761,112.07350015640259,1.8678916692733765,asleep,0.29426025325464844,0.20210381539401967,0.9515529439980813,0.33339635721938615,0.03953481147631677,0.5480729759538223,"[[15886 93981]
 [1212 23805]]",15886.0,93981.0,1212.0,23805.0
LSTM,128,3,32,120,20,5,2023-03-15 00:37:23.917261,2023-03-15 00:39:15.990761,112.07350015640259,1.8678916692733765,avg,0.2950164585866374,0.5652290044334702,0.5481653553139799,0.29194376980391723,0.03973239498020664,0.5481007755566687,,,,,
