NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,300,20,0,2023-03-16 20:21:30.074781,2023-03-16 20:23:34.066744,123.99196314811707,2.0665327191352842,awake,0.20412354319266926,0.9205298013245033,0.022820763063564307,0.044537403764852476,0.005424364230871337,0.5071326455631523,"[[25031 216]
 [107135 2502]]",25031.0,216.0,107135.0,2502.0
LSTM,128,3,32,300,20,0,2023-03-16 20:21:30.074781,2023-03-16 20:23:34.066744,123.99196314811707,2.0665327191352842,asleep,0.20241837430681178,0.18765037906874688,0.9913658712075788,0.31556847750710953,0.005327591939315424,0.5070694301835995,"[[2502 107365]
 [216 24801]]",2502.0,107365.0,216.0,24801.0
LSTM,128,3,32,300,20,0,2023-03-16 20:21:30.074781,2023-03-16 20:23:34.066744,123.99196314811707,2.0665327191352842,avg,0.20327095874974052,0.5540900901966251,0.5070933171355716,0.180052940635981,0.00537597808509338,0.5071010378733759,,,,,
LSTM,128,3,32,300,20,1,2023-03-16 20:23:34.754722,2023-03-16 20:25:28.228925,113.47420287132263,1.891236714522044,awake,0.2438094955665609,0.9369637341265301,0.07470105894907741,0.13837030529321326,0.02083365717719221,0.5264383418878946,"[[24696 551]
 [101447 8190]]",24696.0,551.0,101447.0,8190.0
LSTM,128,3,32,300,20,1,2023-03-16 20:23:34.754722,2023-03-16 20:25:28.228925,113.47420287132263,1.891236714522044,asleep,0.2421784644583494,0.19399411778695608,0.9781748411080465,0.3237761312516539,0.020603889753212035,0.5263825137121144,"[[8195 101672]
 [546 24471]]",8195.0,101672.0,546.0,24471.0
LSTM,128,3,32,300,20,1,2023-03-16 20:23:34.754722,2023-03-16 20:25:28.228925,113.47420287132263,1.891236714522044,avg,0.24299398001245515,0.5654789259567431,0.526437950028562,0.23107321827243357,0.020718773465202123,0.5264104278000046,,,,,
LSTM,128,3,32,300,20,2,2023-03-16 20:25:28.915133,2023-03-16 20:27:23.032806,114.11767292022705,1.9019612153371175,awake,0.26582100174965156,0.9372629843363561,0.10369674471209538,0.18673367989685216,0.029582987574827024,0.5367772747999023,"[[24486 761]
 [98268 11369]]",24486.0,761.0,98268.0,11369.0
LSTM,128,3,32,300,20,2,2023-03-16 20:25:28.915133,2023-03-16 20:27:23.032806,114.11767292022705,1.9019612153371175,asleep,0.26423445330802764,0.19766361992277237,0.9699004676819762,0.3284000243620196,0.029280280528538483,0.5367264723839538,"[[11377 98490]
 [753 24264]]",11377.0,98490.0,753.0,24264.0
LSTM,128,3,32,300,20,2,2023-03-16 20:25:28.915133,2023-03-16 20:27:23.032806,114.11767292022705,1.9019612153371175,avg,0.26502772752883963,0.5674633021295643,0.5367986061970358,0.25756685212943586,0.029431634051682753,0.5367518735919281,,,,,
LSTM,128,3,32,300,20,3,2023-03-16 20:27:23.721242,2023-03-16 20:29:17.353439,113.63219714164734,1.893869952360789,awake,0.2787358026155808,0.9349204113255388,0.12107226574970129,0.21438204061856503,0.034410924758951356,0.5422369290090447,"[[24323 924]
 [96363 13274]]",24323.0,924.0,96363.0,13274.0
LSTM,128,3,32,300,20,3,2023-03-16 20:27:23.721242,2023-03-16 20:29:17.353439,113.63219714164734,1.893869952360789,asleep,0.2771640817294861,0.19970833402383042,0.9634248710876604,0.3308373883859632,0.03404764059479548,0.5421627982551084,"[[13283 96584]
 [915 24102]]",13283.0,96584.0,915.0,24102.0
LSTM,128,3,32,300,20,3,2023-03-16 20:27:23.721242,2023-03-16 20:29:17.353439,113.63219714164734,1.893869952360789,avg,0.27794994217253344,0.5673143726746847,0.5422485684186809,0.2726097145022641,0.03422928267687342,0.5421998636320766,,,,,
LSTM,128,3,32,300,20,4,2023-03-16 20:29:18.039978,2023-03-16 20:31:11.443406,113.40342807769775,1.890057134628296,awake,0.2906793985943477,0.9280677009873061,0.13803734140846613,0.24032903512672305,0.03779920247649737,0.5457881878745899,"[[24074 1173]
 [94503 15134]]",24074.0,1173.0,94503.0,15134.0
LSTM,128,3,32,300,20,4,2023-03-16 20:29:18.039978,2023-03-16 20:31:11.443406,113.40342807769775,1.890057134628296,asleep,0.2891225052637822,0.20116886074027848,0.9535116121037694,0.33224229424627777,0.037375504628284095,0.5456754998634933,"[[15144 94723]
 [1163 23854]]",15144.0,94723.0,1163.0,23854.0
LSTM,128,3,32,300,20,4,2023-03-16 20:29:18.039978,2023-03-16 20:31:11.443406,113.40342807769775,1.890057134628296,avg,0.28990095192906495,0.5646182808637923,0.5457744767561178,0.2862856646865004,0.037587353552390734,0.5457318438690416,,,,,
LSTM,128,3,32,300,20,5,2023-03-16 20:31:12.132854,2023-03-16 20:33:05.607518,113.47466397285461,1.891244399547577,awake,0.2983452448029418,0.9272323209299675,0.1484170489889362,0.2558772191907914,0.04070132770425494,0.5489183910132625,"[[23970 1277]
 [93365 16272]]",23970.0,1277.0,93365.0,16272.0
LSTM,128,3,32,300,20,5,2023-03-16 20:31:12.132854,2023-03-16 20:33:05.607518,113.47466397285461,1.891244399547577,asleep,0.29684766169449306,0.20244598798312524,0.9495143302554263,0.33373609081712935,0.0403089938588328,0.5488740519090032,"[[16286 93581]
 [1263 23754]]",16286.0,93581.0,1263.0,23754.0
LSTM,128,3,32,300,20,5,2023-03-16 20:31:12.132854,2023-03-16 20:33:05.607518,113.47466397285461,1.891244399547577,avg,0.2975964532487174,0.5648391544565464,0.5489656896221813,0.2948066550039604,0.04050516078154387,0.5488962214611328,,,,,
LSTM,128,3,32,300,20,6,2023-03-16 20:33:06.304541,2023-03-16 20:35:00.389781,114.08523988723755,1.9014206647872924,awake,0.3052029892351947,0.9290642518326865,0.15720970110455412,0.2689154295610388,0.04399639646015463,0.5525423480767354,"[[23931 1316]
 [92401 17236]]",23931.0,1316.0,92401.0,17236.0
LSTM,128,3,32,300,20,6,2023-03-16 20:33:06.304541,2023-03-16 20:35:00.389781,114.08523988723755,1.9014206647872924,asleep,0.30372023368227513,0.2038648007427019,0.9479953631530559,0.3355665763464899,0.043582898154073124,0.5525062419267697,"[[17251 92616]
 [1301 23716]]",17251.0,92616.0,1301.0,23716.0
LSTM,128,3,32,300,20,6,2023-03-16 20:33:06.304541,2023-03-16 20:35:00.389781,114.08523988723755,1.9014206647872924,avg,0.3044616114587349,0.5664645262876942,0.5526025321288051,0.3022410029537643,0.04378964730711388,0.5525242950017526,,,,,
LSTM,128,3,32,300,20,7,2023-03-16 20:35:01.089341,2023-03-16 20:36:55.030035,113.94069409370422,1.8990115682284037,awake,0.31263159455532163,0.9313315660685155,0.16663170280106168,0.2826858951049492,0.04775134403490666,0.5566394145961581,"[[23900 1347]
 [91368 18269]]",23900.0,1347.0,91368.0,18269.0
LSTM,128,3,32,300,20,7,2023-03-16 20:35:01.089341,2023-03-16 20:36:55.030035,113.94069409370422,1.8990115682284037,asleep,0.3111488390024021,0.20547766943123852,0.9467562057800696,0.3376697437359661,0.04729315921201449,0.5565878018897344,"[[18284 91583]
 [1332 23685]]",18284.0,91583.0,1332.0,23685.0
LSTM,128,3,32,300,20,7,2023-03-16 20:35:01.089341,2023-03-16 20:36:55.030035,113.94069409370422,1.8990115682284037,avg,0.31189021677886186,0.568404617749877,0.5566939542905657,0.31017781942045763,0.047522251623460576,0.5566136082429463,,,,,
LSTM,128,3,32,300,20,8,2023-03-16 20:36:55.730589,2023-03-16 20:38:48.168352,112.43776297569275,1.8739627162615458,awake,0.3232703656475194,0.9317465544004893,0.1806689347574268,0.3026524874709693,0.05248626296874426,0.5615983799227781,"[[23796 1451]
 [89829 19808]]",23796.0,1451.0,89829.0,19808.0
LSTM,128,3,32,300,20,8,2023-03-16 20:36:55.730589,2023-03-16 20:38:48.168352,112.43776297569275,1.8739627162615458,asleep,0.3218172652056582,0.20755115511551156,0.9426789782947596,0.3401999394122993,0.05200160052131442,0.5615622129862031,"[[19825 90042]
 [1434 23583]]",19825.0,90042.0,1434.0,23583.0
LSTM,128,3,32,300,20,8,2023-03-16 20:36:55.730589,2023-03-16 20:38:48.168352,112.43776297569275,1.8739627162615458,avg,0.3225438154265888,0.5696488547580004,0.5616739565260932,0.3214262134416343,0.05224393174502934,0.5615802964544906,,,,,
LSTM,128,3,32,300,20,9,2023-03-16 20:38:48.861894,2023-03-16 20:40:40.624464,111.76257014274597,1.8627095023790996,awake,0.3303950060792978,0.9327896764943095,0.18988115326030447,0.315531810086772,0.05596907142779162,0.5652340768479999,"[[23747 1500]
 [88819 20818]]",23747.0,1500.0,88819.0,20818.0
