NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,3,32,120,20,0,2023-03-15 04:21:44.301790,2023-03-15 04:22:03.664472,19.362682104110718,0.3227113684018453,awake,0.18661407982919162,0.8627450980392157,0.00040090020318351205,0.0008014279989800007,4.5630800587059817e-05,0.5000612020411184,"[[25128 7]
 [109709 44]]",25128.0,7.0,109709.0,44.0
MLP,12,3,32,120,20,0,2023-03-15 04:21:44.301790,2023-03-15 04:22:03.664472,19.362682104110718,0.3227113684018453,asleep,0.18661407982919162,0.1863583437780431,0.9997215038790531,0.31415497712099616,4.5630800587059817e-05,0.5000612020411184,"[[44 109709]
 [7 25128]]",44.0,109709.0,7.0,25128.0
MLP,12,3,32,120,20,0,2023-03-15 04:21:44.301790,2023-03-15 04:22:03.664472,19.362682104110718,0.3227113684018453,avg,0.18661407982919162,0.5245517209086294,0.5000612020411184,0.15747820255998807,4.5630800587059817e-05,0.5000612020411184,,,,,
MLP,12,3,32,120,20,1,2023-03-15 04:22:04.340801,2023-03-15 04:22:16.449787,12.108985900878906,0.2018164316813151,awake,0.1880967914121345,0.8558558558558559,0.0025967399524386577,0.005177770107007249,0.0002565386148962734,0.5003435261329728,"[[25087 48]
 [109468 285]]",25087.0,48.0,109468.0,285.0
MLP,12,3,32,120,20,1,2023-03-15 04:22:04.340801,2023-03-15 04:22:16.449787,12.108985900878906,0.2018164316813151,asleep,0.1880967914121345,0.18644420497194455,0.9980903123135071,0.3141962552445363,0.0002565386148962734,0.500343526132973,"[[285 109468]
 [48 25087]]",285.0,109468.0,48.0,25087.0
MLP,12,3,32,120,20,1,2023-03-15 04:22:04.340801,2023-03-15 04:22:16.449787,12.108985900878906,0.2018164316813151,avg,0.1880967914121345,0.5211500304139002,0.5003435261329728,0.1596870126757718,0.0002565386148962734,0.500343526132973,,,,,
MLP,12,3,32,120,20,2,2023-03-15 04:22:17.129004,2023-03-15 04:22:29.227573,12.0985689163208,0.20164281527201336,awake,0.19655566099282368,0.9247842170160296,0.013667052381256093,0.026936026936026935,0.0033152584579370092,0.5044066314223766,"[[25013 122]
 [108253 1500]]",25013.0,122.0,108253.0,1500.0
MLP,12,3,32,120,20,2,2023-03-15 04:22:17.129004,2023-03-15 04:22:29.227573,12.0985689163208,0.20164281527201336,asleep,0.19655566099282368,0.1876922846037249,0.9951462104634972,0.31581871326569905,0.0033152584579370092,0.5044066314223766,"[[1500 108253]
 [122 25013]]",1500.0,108253.0,122.0,25013.0
MLP,12,3,32,120,20,2,2023-03-15 04:22:17.129004,2023-03-15 04:22:29.227573,12.0985689163208,0.20164281527201336,avg,0.19655566099282368,0.5562382508098773,0.5044066314223766,0.17137737010086299,0.0033152584579370092,0.5044066314223766,,,,,
MLP,12,3,32,120,20,3,2023-03-15 04:22:29.906540,2023-03-15 04:22:41.765679,11.85913896560669,0.19765231609344483,awake,0.20522952375303957,0.9241011984021305,0.025293158273577945,0.04923862820046649,0.0061512787011392955,0.5081110708813683,"[[24907 228]
 [106977 2776]]",24907.0,228.0,106977.0,2776.0
MLP,12,3,32,120,20,3,2023-03-15 04:22:29.906540,2023-03-15 04:22:41.765679,11.85913896560669,0.19765231609344483,asleep,0.20522952375303957,0.18885535773861878,0.9909289834891586,0.31724823110578976,0.0061512787011392955,0.5081110708813683,"[[2776 106977]
 [228 24907]]",2776.0,106977.0,228.0,24907.0
MLP,12,3,32,120,20,3,2023-03-15 04:22:29.906540,2023-03-15 04:22:41.765679,11.85913896560669,0.19765231609344483,avg,0.20522952375303957,0.5564782780703746,0.5081110708813683,0.18324342965312812,0.0061512787011392955,0.5081110708813683,,,,,
MLP,12,3,32,120,20,4,2023-03-15 04:22:42.445177,2023-03-15 04:22:54.505805,12.060627937316895,0.20101046562194824,awake,0.21236136646699483,0.9267996108949417,0.034723424416644645,0.06693891889518289,0.008681798182616607,0.5113740456079642,"[[24834 301]
 [105942 3811]]",24834.0,301.0,105942.0,3811.0
MLP,12,3,32,120,20,4,2023-03-15 04:22:42.445177,2023-03-15 04:22:54.505805,12.060627937316895,0.20101046562194824,asleep,0.21236136646699483,0.18989722884933016,0.9880246667992839,0.31856636157807977,0.008681798182616607,0.5113740456079643,"[[3811 105942]
 [301 24834]]",3811.0,105942.0,301.0,24834.0
MLP,12,3,32,120,20,4,2023-03-15 04:22:42.445177,2023-03-15 04:22:54.505805,12.060627937316895,0.20101046562194824,avg,0.21236136646699483,0.5583484198721359,0.5113740456079643,0.19275264023663133,0.008681798182616607,0.5113740456079643,,,,,
MLP,12,3,32,120,20,5,2023-03-15 04:22:55.186981,2023-03-15 04:23:09.946323,14.759341955184937,0.2459890325864156,awake,0.2122946444457624,0.9174815168137371,0.03505143367379479,0.06752321274989906,0.00812755675313348,0.5106428841334958,"[[24789 346]
 [105906 3847]]",24789.0,346.0,105906.0,3847.0
MLP,12,3,32,120,20,5,2023-03-15 04:22:55.186981,2023-03-15 04:23:09.946323,14.759341955184937,0.2459890325864156,asleep,0.2122946444457624,0.1896706071387582,0.9862343345931968,0.3181543990245781,0.00812755675313348,0.5106428841334958,"[[3847 105906]
 [346 24789]]",3847.0,105906.0,346.0,24789.0
MLP,12,3,32,120,20,5,2023-03-15 04:22:55.186981,2023-03-15 04:23:09.946323,14.759341955184937,0.2459890325864156,avg,0.2122946444457624,0.5535760619762476,0.5106428841334958,0.19283880588723856,0.00812755675313348,0.5106428841334958,,,,,
MLP,12,3,32,120,20,6,2023-03-15 04:23:10.628673,2023-03-15 04:23:22.620399,11.99172592163086,0.19986209869384766,awake,0.21963406678132968,0.9242395616852447,0.0445728134994032,0.0850442431722963,0.010998443804425606,0.5143094821425801,"[[24734 401]
 [104861 4892]]",24734.0,401.0,104861.0,4892.0
MLP,12,3,32,120,20,6,2023-03-15 04:23:10.628673,2023-03-15 04:23:22.620399,11.99172592163086,0.19986209869384766,asleep,0.21963406678132968,0.1908561287086693,0.984046150785757,0.31970529309119117,0.010998443804425606,0.5143094821425801,"[[4892 104861]
 [401 24734]]",4892.0,104861.0,401.0,24734.0
MLP,12,3,32,120,20,6,2023-03-15 04:23:10.628673,2023-03-15 04:23:22.620399,11.99172592163086,0.19986209869384766,avg,0.21963406678132968,0.557547845196957,0.5143094821425801,0.20237476813174374,0.010998443804425606,0.5143094821425801,,,,,
MLP,12,3,32,120,20,7,2023-03-15 04:23:23.300749,2023-03-15 04:23:38.123047,14.822298049926758,0.24703830083211262,awake,0.22930875986003202,0.9342223554090501,0.05680938106475449,0.10710574007747342,0.015244106478934372,0.5196718478826856,"[[24696 439]
 [103518 6235]]",24696.0,439.0,103518.0,6235.0
MLP,12,3,32,120,20,7,2023-03-15 04:23:23.300749,2023-03-15 04:23:38.123047,14.822298049926758,0.24703830083211262,asleep,0.22930875986003202,0.19261547100940615,0.9825343147006167,0.32208883005432054,0.015244106478934372,0.5196718478826856,"[[6235 103518]
 [439 24696]]",6235.0,103518.0,439.0,24696.0
MLP,12,3,32,120,20,7,2023-03-15 04:23:23.300749,2023-03-15 04:23:38.123047,14.822298049926758,0.24703830083211262,avg,0.22930875986003202,0.5634189132092281,0.5196718478826856,0.21459728506589698,0.015244106478934372,0.5196718478826856,,,,,
MLP,12,3,32,120,20,8,2023-03-15 04:23:38.804233,2023-03-15 04:23:53.609328,14.805094957351685,0.24675158262252808,awake,0.22872308878476957,0.9344885240918073,0.05601669202664164,0.10569748650414332,0.015051795265074275,0.5194346440041702,"[[24704 431]
 [103605 6148]]",24704.0,431.0,103605.0,6148.0
MLP,12,3,32,120,20,8,2023-03-15 04:23:38.804233,2023-03-15 04:23:53.609328,14.805094957351685,0.24675158262252808,asleep,0.22872308878476957,0.19253520797449905,0.9828525959816988,0.3219936915096061,0.015051795265074275,0.5194346440041702,"[[6148 103605]
 [431 24704]]",6148.0,103605.0,431.0,24704.0
MLP,12,3,32,120,20,8,2023-03-15 04:23:38.804233,2023-03-15 04:23:53.609328,14.805094957351685,0.24675158262252808,avg,0.22872308878476957,0.5635118660331532,0.5194346440041703,0.21384558900687473,0.015051795265074275,0.5194346440041702,,,,,
MLP,12,3,32,120,20,9,2023-03-15 04:23:54.289362,2023-03-15 04:24:06.160349,11.870986938476562,0.1978497823079427,awake,0.23092491548543978,0.9321644150617994,0.05909633449655135,0.11114633582095947,0.01564791741308602,0.5201588694563521,"[[24663 472]
 [103267 6486]]",24663.0,472.0,103267.0,6486.0
MLP,12,3,32,120,20,9,2023-03-15 04:23:54.289362,2023-03-15 04:24:06.160349,11.870986938476562,0.1978497823079427,asleep,0.23092491548543978,0.19278511686078323,0.9812214044161528,0.3222552510371411,0.01564791741308602,0.520158869456352,"[[6486 103267]
 [472 24663]]",6486.0,103267.0,472.0,24663.0
MLP,12,3,32,120,20,9,2023-03-15 04:23:54.289362,2023-03-15 04:24:06.160349,11.870986938476562,0.1978497823079427,avg,0.23092491548543978,0.5624747659612913,0.520158869456352,0.21670079342905027,0.01564791741308602,0.5201588694563521,,,,,
MLP,12,3,32,120,20,10,2023-03-15 04:24:06.843450,2023-03-15 04:24:18.915949,12.07249903678894,0.20120831727981567,awake,0.23899086649664908,0.9359194696783697,0.06946507156979764,0.12933103758301598,0.019034723448711377,0.5243486089895935,"[[24613 522]
 [102129 7624]]",24613.0,522.0,102129.0,7624.0
MLP,12,3,32,120,20,10,2023-03-15 04:24:06.843450,2023-03-15 04:24:18.915949,12.07249903678894,0.20120831727981567,asleep,0.23899086649664908,0.194197661390857,0.9792321464093893,0.3241175424850372,0.019034723448711377,0.5243486089895935,"[[7624 102129]
 [522 24613]]",7624.0,102129.0,522.0,24613.0
MLP,12,3,32,120,20,10,2023-03-15 04:24:06.843450,2023-03-15 04:24:18.915949,12.07249903678894,0.20120831727981567,avg,0.23899086649664908,0.5650585655346133,0.5243486089895935,0.2267242900340266,0.019034723448711377,0.5243486089895935,,,,,
MLP,12,3,32,120,20,11,2023-03-15 04:24:19.598185,2023-03-15 04:24:31.508696,11.910511016845703,0.19850851694742838,awake,0.24340934701381886,0.9389826642335767,0.07501389483658762,0.13892896617477074,0.021080080540606172,0.5268644170821093,"[[24600 535]
 [101520 8233]]",24600.0,535.0,101520.0,8233.0
MLP,12,3,32,120,20,11,2023-03-15 04:24:19.598185,2023-03-15 04:24:31.508696,11.910511016845703,0.19850851694742838,asleep,0.24340934701381886,0.1950523311132255,0.9787149393276308,0.32527850318997725,0.021080080540606172,0.5268644170821092,"[[8233 101520]
 [535 24600]]",8233.0,101520.0,535.0,24600.0
MLP,12,3,32,120,20,11,2023-03-15 04:24:19.598185,2023-03-15 04:24:31.508696,11.910511016845703,0.19850851694742838,avg,0.24340934701381886,0.567017497673401,0.5268644170821092,0.232103734682374,0.021080080540606172,0.5268644170821093,,,,,
MLP,12,3,32,120,20,12,2023-03-15 04:24:32.189796,2023-03-15 04:24:44.129324,11.939527988433838,0.19899213314056396,awake,0.250726528675642,0.9387693240375872,0.08465372244950024,0.15530296698704554,0.023916400506009627,0.5302719577037636,"[[24529 606]
 [100462 9291]]",24529.0,606.0,100462.0,9291.0
MLP,12,3,32,120,20,12,2023-03-15 04:24:32.189796,2023-03-15 04:24:44.129324,11.939527988433838,0.19899213314056396,asleep,0.250726528675642,0.19624612972133992,0.9758901929580267,0.32677883910848216,0.023916400506009627,0.5302719577037635,"[[9291 100462]
 [606 24529]]",9291.0,100462.0,606.0,24529.0
MLP,12,3,32,120,20,12,2023-03-15 04:24:32.189796,2023-03-15 04:24:44.129324,11.939527988433838,0.19899213314056396,avg,0.250726528675642,0.5675077268794635,0.5302719577037635,0.24104090304776385,0.023916400506009627,0.5302719577037636,,,,,
MLP,12,3,32,120,20,13,2023-03-15 04:24:44.812167,2023-03-15 04:24:56.784922,11.972754955291748,0.19954591592152912,awake,0.26215082142221696,0.940547992417715,0.09945969586252768,0.17989601100866026,0.028742581040224202,0.5360039676845958,"[[24445 690]
 [98837 10916]]",24445.0,690.0,98837.0,10916.0
MLP,12,3,32,120,20,13,2023-03-15 04:24:44.812167,2023-03-15 04:24:56.784922,11.972754955291748,0.19954591592152912,asleep,0.26215082142221696,0.19828523223179378,0.972548239506664,0.32940970374013756,0.028742581040224202,0.5360039676845958,"[[10916 98837]
 [690 24445]]",10916.0,98837.0,690.0,24445.0
MLP,12,3,32,120,20,13,2023-03-15 04:24:44.812167,2023-03-15 04:24:56.784922,11.972754955291748,0.19954591592152912,avg,0.26215082142221696,0.5694166123247544,0.5360039676845958,0.2546528573743989,0.028742581040224202,0.5360039676845958,,,,,
MLP,12,3,32,120,20,14,2023-03-15 04:24:57.468861,2023-03-15 04:25:09.374729,11.9058678150177,0.198431130250295,awake,0.26955696577901667,0.9454718628462576,0.10853461864368172,0.19471688243755722,0.032610796584254254,0.5406011068153758,"[[24448 687]
 [97841 11912]]",24448.0,687.0,97841.0,11912.0
MLP,12,3,32,120,20,14,2023-03-15 04:24:57.468861,2023-03-15 04:25:09.374729,11.9058678150177,0.198431130250295,asleep,0.26955696577901667,0.19991986196632566,0.9726675949870698,0.33166919904493164,0.032610796584254254,0.5406011068153758,"[[11912 97841]
 [687 24448]]",11912.0,97841.0,687.0,24448.0
MLP,12,3,32,120,20,14,2023-03-15 04:24:57.468861,2023-03-15 04:25:09.374729,11.9058678150177,0.198431130250295,avg,0.26955696577901667,0.5726958624062917,0.5406011068153758,0.26319304074124444,0.032610796584254254,0.5406011068153758,,,,,
MLP,12,3,32,120,20,15,2023-03-15 04:25:10.060679,2023-03-15 04:25:22.100994,12.0403151512146,0.20067191918691,awake,0.2821970820236048,0.9454319966928483,0.12502619518373073,0.22084704708410116,0.03800441518752584,0.5467581741782986,"[[24343 792]
 [96031 13722]]",24343.0,792.0,96031.0,13722.0
MLP,12,3,32,120,20,15,2023-03-15 04:25:10.060679,2023-03-15 04:25:22.100994,12.0403151512146,0.20067191918691,asleep,0.2821970820236048,0.20222805589246848,0.9684901531728666,0.3345909874990551,0.03800441518752584,0.5467581741782986,"[[13722 96031]
 [792 24343]]",13722.0,96031.0,792.0,24343.0
MLP,12,3,32,120,20,15,2023-03-15 04:25:10.060679,2023-03-15 04:25:22.100994,12.0403151512146,0.20067191918691,avg,0.2821970820236048,0.5738300262926583,0.5467581741782986,0.2777190172915781,0.03800441518752584,0.5467581741782986,,,,,
MLP,12,3,32,120,20,16,2023-03-15 04:25:22.786975,2023-03-15 04:25:34.624206,11.837231159210205,0.19728718598683676,awake,0.2894623687800249,0.9446362357754763,0.13462957732362668,0.23567127875912114,0.04099894959781991,0.5500878143232415,"[[24269 866]
 [94977 14776]]",24269.0,866.0,94977.0,14776.0
MLP,12,3,32,120,20,16,2023-03-15 04:25:22.786975,2023-03-15 04:25:34.624206,11.837231159210205,0.19728718598683676,asleep,0.2894623687800249,0.2035204535162605,0.9655460513228565,0.33617996827837454,0.04099894959781991,0.5500878143232416,"[[14776 94977]
 [866 24269]]",14776.0,94977.0,866.0,24269.0
MLP,12,3,32,120,20,16,2023-03-15 04:25:22.786975,2023-03-15 04:25:34.624206,11.837231159210205,0.19728718598683676,avg,0.2894623687800249,0.5740783446458684,0.5500878143232416,0.28592562351874784,0.04099894959781991,0.5500878143232415,,,,,
