NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,2,32,4,1,2023-03-15 04:52:14.282574,2023-03-15 04:55:01.525489,167.24291515350342,2.787381919225057,awake,0.18718306100056345,1.0,9.121008418690771e-06,1.8241850453309982e-05,3.414480793106911e-06,0.5325815614331805,"[[25247 0]
 [109636 1]]",25247.0,0.0,109636.0,1.0
LSTM,128,2,32,4,1,2023-03-15 04:52:14.282574,2023-03-15 04:55:01.525489,167.24291515350342,2.787381919225057,asleep,0.18547789211470597,0.18547185338404396,1.0,0.3129080675422139,3.376292067258646e-06,0.5448005640417295,"[[1 109866]
 [0 25017]]",1.0,109866.0,0.0,25017.0
LSTM,128,2,32,4,1,2023-03-15 04:52:14.282574,2023-03-15 04:55:01.525489,167.24291515350342,2.787381919225057,avg,0.1863304765576347,0.592735926692022,0.5000045605042094,0.1564631546963336,3.3953864301827785e-06,0.538691062737455,,,,,
LSTM,128,7,32,4,1,2023-03-15 04:55:02.219081,2023-03-15 05:04:31.548378,569.3292970657349,9.488821617762248,awake,0.18720530233385724,0.6428571428571429,8.208907576821693e-05,0.00016415718962891354,-4.3411094056811095e-05,0.46837916160536713,"[[25242 5]
 [109628 9]]",25242.0,5.0,109628.0,9.0
LSTM,128,7,32,4,1,2023-03-15 04:55:02.219081,2023-03-15 05:04:31.548378,569.3292970657349,9.488821617762248,asleep,0.18550013344799976,0.18545265811522207,0.9998001359075829,0.3128709651191154,-4.375483036556105e-05,0.5009263707141504,"[[9 109858]
 [5 25012]]",9.0,109858.0,5.0,25012.0
LSTM,128,7,32,4,1,2023-03-15 04:55:02.219081,2023-03-15 05:04:31.548378,569.3292970657349,9.488821617762248,avg,0.1863527178909285,0.4141549004861825,0.49994111249167555,0.15651756115437215,-4.358296221118607e-05,0.4846527661597587,,,,,
LSTM,128,15,32,4,1,2023-03-15 05:04:32.243036,2023-03-15 05:24:30.992227,1198.749191045761,19.979153184096017,awake,0.18733875033362,0.8235294117647058,0.00025538823572334156,0.0005106181214724038,6.640871933361048e-06,0.524670983483244,"[[25241 6]
 [109609 28]]",25241.0,6.0,109609.0,28.0
LSTM,128,15,32,4,1,2023-03-15 05:04:32.243036,2023-03-15 05:24:30.992227,1198.749191045761,19.979153184096017,asleep,0.1856335814477625,0.18547274749721912,0.9997601630890994,0.3128975961267803,5.571388021929913e-06,0.5099660606005225,"[[28 109839]
 [6 25011]]",28.0,109839.0,6.0,25011.0
LSTM,128,15,32,4,1,2023-03-15 05:04:32.243036,2023-03-15 05:24:30.992227,1198.749191045761,19.979153184096017,avg,0.18648616589069125,0.5045010796309625,0.5000077756624114,0.15670410712412636,6.10612997764548e-06,0.5173185220418832,,,,,
LSTM,128,30,32,4,1,2023-03-15 05:24:31.688495,2023-03-15 06:04:34.591155,2402.9026601314545,40.048377668857576,awake,0.18788736988820023,0.9897959183673469,0.0008847378166130048,0.0017678953843349888,0.0003165522205406113,0.7369880990681138,"[[25246 1]
 [109540 97]]",25246.0,1.0,109540.0,97.0
LSTM,128,30,32,4,1,2023-03-15 05:24:31.688495,2023-03-15 06:04:34.591155,2402.9026601314545,40.048377668857576,asleep,0.18618220100234276,0.18559791076224533,0.9999600271815166,0.3130854865052596,0.00031284644201268197,0.5065389296098554,"[[97 109770]
 [1 25016]]",97.0,109770.0,1.0,25016.0
LSTM,128,30,32,4,1,2023-03-15 05:24:31.688495,2023-03-15 06:04:34.591155,2402.9026601314545,40.048377668857576,avg,0.1870347854452715,0.5876969145647961,0.5004223824990648,0.15742669094479728,0.0003146993312766466,0.6217635143389846,,,,,
LSTM,128,50,32,4,1,2023-03-15 06:04:35.285277,2023-03-15 07:11:34.115790,4018.8305130004883,66.98050855000814,awake,0.18905133299724208,0.9067524115755627,0.002572124374070797,0.0051296976752646705,0.0005338263795360287,0.7724864209519503,"[[25218 29]
 [109355 282]]",25218.0,29.0,109355.0,282.0
LSTM,128,50,32,4,1,2023-03-15 06:04:35.285277,2023-03-15 07:11:34.115790,4018.8305130004883,66.98050855000814,asleep,0.1873461641113846,0.18568360666701345,0.9988407882639805,0.3131524531612257,0.0005230411672293434,0.5055287457547516,"[[282 109585]
 [29 24988]]",282.0,109585.0,29.0,24988.0
LSTM,128,50,32,4,1,2023-03-15 06:04:35.285277,2023-03-15 07:11:34.115790,4018.8305130004883,66.98050855000814,avg,0.18819874855431334,0.546218009121288,0.5007064563190257,0.15914107541824518,0.000528433773382686,0.639007583353351,,,,,
LSTM,128,100,32,4,1,2023-03-15 07:11:34.819086,2023-03-15 09:26:56.636003,8121.816916942596,135.3636152823766,awake,0.19258770499095518,0.8564453125,0.007999124383191806,0.015850209197458907,0.0008196213654124707,0.7280332214706036,"[[25100 147]
 [108760 877]]",25100.0,147.0,108760.0,877.0
LSTM,128,100,32,4,1,2023-03-15 07:11:34.819086,2023-03-15 09:26:56.636003,8121.816916942596,135.3636152823766,asleep,0.1908825361050977,0.18579112505602868,0.9941239956829356,0.31307237674427385,0.000785948587786911,0.7278269473909752,"[[877 108990]
 [147 24870]]",877.0,108990.0,147.0,24870.0
LSTM,128,100,32,4,1,2023-03-15 07:11:34.819086,2023-03-15 09:26:56.636003,8121.816916942596,135.3636152823766,avg,0.19173512054802644,0.5211182187780143,0.5010615600330637,0.16446129297086637,0.0008027849765996908,0.7279300844307894,,,,,
