myFlowerExperiment | INFO flwr 2024-02-20 00:02:33,265 | app.py:146 | Starting Flower simulation, config: ServerConfig(num_rounds=200, round_timeout=None)
myFlowerExperiment | INFO flwr 2024-02-20 00:02:36,914 | app.py:180 | Flower VCE: Ray initialized with resources: {'CPU': 8.0, 'object_store_memory': 9545207808.0, 'memory': 19090415616.0, 'node:10.17.0.243': 1.0, 'node:__internal_head__': 1.0}
myFlowerExperiment | INFO flwr 2024-02-20 00:02:36,914 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2024-02-20 00:02:36,914 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-02-20 00:02:39,622 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-02-20 00:02:39,622 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2024-02-20 00:02:48,364 | server.py:91 | initial parameters (loss, other metrics): 0.7794268131256104, {'accuracy': 0.26956599950790405}
myFlowerExperiment | INFO flwr 2024-02-20 00:02:48,365 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2024-02-20 00:02:48,365 | server.py:218 | fit_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-20 00:03:38,358 | server.py:232 | fit_round 1 received 19 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-02-20 00:03:38,368 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2024-02-20 00:03:46,398 | server.py:119 | fit progress: (1, 0.48892661929130554, {'accuracy': 0.7792630791664124}, 58.03278963896446)
myFlowerExperiment | DEBUG flwr 2024-02-20 00:03:46,398 | server.py:168 | evaluate_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-20 00:03:47,222 | server.py:182 | evaluate_round 1 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-20 00:03:47,222 | server.py:218 | fit_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-20 00:04:35,385 | server.py:232 | fit_round 2 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-20 00:04:43,511 | server.py:119 | fit progress: (2, 0.5433482527732849, {'accuracy': 0.8082366585731506}, 115.14632011199137)
myFlowerExperiment | DEBUG flwr 2024-02-20 00:04:43,511 | server.py:168 | evaluate_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-20 00:04:44,441 | server.py:182 | evaluate_round 2 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-20 00:04:44,441 | server.py:218 | fit_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-20 00:05:31,323 | server.py:232 | fit_round 3 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-20 00:05:40,546 | server.py:119 | fit progress: (3, 0.559819757938385, {'accuracy': 0.8104548454284668}, 172.1812682930031)
