NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,1,32,120,20,0,2023-03-15 04:06:09.036197,2023-03-15 04:06:23.551532,14.515335083007812,0.24192225138346354,awake,0.1863397781863472,0.0,0.0,0.0,0.0,0.5,"[[25135 0]
 [109753 0]]",25135.0,0.0,109753.0,0.0
MLP,12,1,32,120,20,0,2023-03-15 04:06:09.036197,2023-03-15 04:06:23.551532,14.515335083007812,0.24192225138346354,asleep,0.1863397781863472,0.1863397781863472,1.0,0.314142342038332,0.0,0.5,"[[0 109753]
 [0 25135]]",0.0,109753.0,0.0,25135.0
MLP,12,1,32,120,20,0,2023-03-15 04:06:09.036197,2023-03-15 04:06:23.551532,14.515335083007812,0.24192225138346354,avg,0.1863397781863472,0.0931698890931736,0.5,0.157071171019166,0.0,0.5,,,,,
MLP,12,1,32,120,20,1,2023-03-15 04:06:24.226709,2023-03-15 04:06:31.207075,6.980366230010986,0.11633943716684977,awake,0.18653994425004447,0.8857142857142857,0.0002824524158792926,0.0005647247422304805,4.5964973074852367e-05,0.5000616558876692,"[[25131 4]
 [109722 31]]",25131.0,4.0,109722.0,31.0
MLP,12,1,32,120,20,1,2023-03-15 04:06:24.226709,2023-03-15 04:06:31.207075,6.980366230010986,0.11633943716684977,asleep,0.18653994425004447,0.18635847923294255,0.9998408593594589,0.31416106207965594,4.5964973074852367e-05,0.5000616558876692,"[[31 109722]
 [4 25131]]",31.0,109722.0,4.0,25131.0
MLP,12,1,32,120,20,1,2023-03-15 04:06:24.226709,2023-03-15 04:06:31.207075,6.980366230010986,0.11633943716684977,avg,0.18653994425004447,0.5360363824736141,0.500061655887669,0.1573628934109432,4.5964973074852367e-05,0.5000616558876692,,,,,
MLP,12,1,32,120,20,2,2023-03-15 04:06:31.883081,2023-03-15 04:06:38.870177,6.987096071243286,0.1164516011873881,awake,0.18822282189668466,0.9150326797385621,0.002551183111167804,0.005088179976194587,0.000566259176451922,0.5007583844738254,"[[25109 26]
 [109473 280]]",25109.0,26.0,109473.0,280.0
MLP,12,1,32,120,20,2,2023-03-15 04:06:31.883081,2023-03-15 04:06:38.870177,6.987096071243286,0.1164516011873881,asleep,0.18822282189668466,0.18657026942681784,0.998965585836483,0.3144186279481833,0.000566259176451922,0.5007583844738254,"[[280 109473]
 [26 25109]]",280.0,109473.0,26.0,25109.0
MLP,12,1,32,120,20,2,2023-03-15 04:06:31.883081,2023-03-15 04:06:38.870177,6.987096071243286,0.1164516011873881,avg,0.18822282189668466,0.5508014745826899,0.5007583844738254,0.15975340396218896,0.000566259176451922,0.5007583844738254,,,,,
MLP,12,1,32,120,20,3,2023-03-15 04:06:39.545303,2023-03-15 04:06:46.663958,7.11865496635437,0.1186442494392395,awake,0.19213718047565387,0.948394495412844,0.007535101546199192,0.014951412429378532,0.002151682357783513,0.502872384670056,"[[25090 45]
 [108926 827]]",25090.0,45.0,108926.0,827.0
