NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,1,16,120,20,0,2023-03-08 17:41:56.416653,2023-03-08 17:42:13.353788,16.937134981155396,0.2822855830192566,awake,0.8136602218136528,0.8136602218136528,1.0,0.8972576142183853,0.0,0.5,"[[0 25135]
 [0 109753]]",0.0,25135.0,0.0,109753.0
MLP,12,1,16,120,20,0,2023-03-08 17:41:56.416653,2023-03-08 17:42:13.353788,16.937134981155396,0.2822855830192566,asleep,0.8136602218136528,0.0,0.0,0.0,0.0,0.5,"[[109753 0]
 [25135 0]]",109753.0,0.0,25135.0,0.0
MLP,12,1,16,120,20,0,2023-03-08 17:41:56.416653,2023-03-08 17:42:13.353788,16.937134981155396,0.2822855830192566,avg,0.8136602218136528,0.4068301109068264,0.5,0.4486288071091927,0.0,0.5,,,,,
MLP,12,1,16,120,20,1,2023-03-08 17:42:14.060198,2023-03-08 17:42:22.501105,8.440907001495361,0.140681783358256,awake,0.8136602218136528,0.8136602218136528,1.0,0.8972576142183853,0.0,0.5,"[[0 25135]
 [0 109753]]",0.0,25135.0,0.0,109753.0
MLP,12,1,16,120,20,1,2023-03-08 17:42:14.060198,2023-03-08 17:42:22.501105,8.440907001495361,0.140681783358256,asleep,0.8136602218136528,0.0,0.0,0.0,0.0,0.5,"[[109753 0]
 [25135 0]]",109753.0,0.0,25135.0,0.0
MLP,12,1,16,120,20,1,2023-03-08 17:42:14.060198,2023-03-08 17:42:22.501105,8.440907001495361,0.140681783358256,avg,0.8136602218136528,0.4068301109068264,0.5,0.4486288071091927,0.0,0.5,,,,,
MLP,12,1,16,120,20,2,2023-03-08 17:42:23.206221,2023-03-08 17:42:31.448494,8.242272853851318,0.1373712142308553,awake,0.8136602218136528,0.8136602218136528,1.0,0.8972576142183853,0.0,0.5,"[[0 25135]
 [0 109753]]",0.0,25135.0,0.0,109753.0
MLP,12,1,16,120,20,2,2023-03-08 17:42:23.206221,2023-03-08 17:42:31.448494,8.242272853851318,0.1373712142308553,asleep,0.8136602218136528,0.0,0.0,0.0,0.0,0.5,"[[109753 0]
 [25135 0]]",109753.0,0.0,25135.0,0.0
MLP,12,1,16,120,20,2,2023-03-08 17:42:23.206221,2023-03-08 17:42:31.448494,8.242272853851318,0.1373712142308553,avg,0.8136602218136528,0.4068301109068264,0.5,0.4486288071091927,0.0,0.5,,,,,
MLP,12,1,16,120,20,3,2023-03-08 17:42:32.152970,2023-03-08 17:42:40.418087,8.265116930007935,0.1377519488334656,awake,0.8136305675819939,0.81367795127304,0.9999179976857124,0.897235382848173,0.00019020551953163878,0.5000584617431943,"[[5 25130]
 [9 109744]]",5.0,25130.0,9.0,109744.0
