NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,120,20,0,2023-03-07 19:36:32.677338,2023-03-07 19:38:09.331168,96.65383005142212,1.610897167523702,awake,0.8128243527772011,0.8128243527772011,1.0,0.8967491544693502,0.0,0.5,"[[0 25247]
 [0 109637]]",0.0,25247.0,0.0,109637.0
LSTM,128,3,32,120,20,0,2023-03-07 19:36:32.677338,2023-03-07 19:38:09.331168,96.65383005142212,1.610897167523702,asleep,0.8145295216630586,0.0,0.0,0.0,0.0,0.5,"[[109867 0]
 [25017 0]]",109867.0,0.0,25017.0,0.0
LSTM,128,3,32,120,20,0,2023-03-07 19:36:32.677338,2023-03-07 19:38:09.331168,96.65383005142212,1.610897167523702,avg,0.8136769372201298,0.40641217638860055,0.5,0.4483745772346751,0.0,0.5,,,,,
LSTM,128,3,32,120,20,1,2023-03-07 19:38:10.037105,2023-03-07 19:39:34.114605,84.0774998664856,1.4012916644414266,awake,0.8128243527772011,0.8128243527772011,1.0,0.8967491544693502,0.0,0.5,"[[0 25247]
 [0 109637]]",0.0,25247.0,0.0,109637.0
LSTM,128,3,32,120,20,1,2023-03-07 19:38:10.037105,2023-03-07 19:39:34.114605,84.0774998664856,1.4012916644414266,asleep,0.8145295216630586,0.0,0.0,0.0,0.0,0.5,"[[109867 0]
 [25017 0]]",109867.0,0.0,25017.0,0.0
LSTM,128,3,32,120,20,1,2023-03-07 19:38:10.037105,2023-03-07 19:39:34.114605,84.0774998664856,1.4012916644414266,avg,0.8136769372201298,0.40641217638860055,0.5,0.4483745772346751,0.0,0.5,,,,,
LSTM,128,3,32,120,20,2,2023-03-07 19:39:34.819701,2023-03-07 19:40:59.555076,84.73537492752075,1.4122562487920125,awake,0.8128243527772011,0.8128243527772011,1.0,0.8967491544693502,0.0,0.5,"[[0 25247]
 [0 109637]]",0.0,25247.0,0.0,109637.0
LSTM,128,3,32,120,20,2,2023-03-07 19:39:34.819701,2023-03-07 19:40:59.555076,84.73537492752075,1.4122562487920125,asleep,0.8145295216630586,0.0,0.0,0.0,0.0,0.5,"[[109867 0]
 [25017 0]]",109867.0,0.0,25017.0,0.0
LSTM,128,3,32,120,20,2,2023-03-07 19:39:34.819701,2023-03-07 19:40:59.555076,84.73537492752075,1.4122562487920125,avg,0.8136769372201298,0.40641217638860055,0.5,0.4483745772346751,0.0,0.5,,,,,
LSTM,128,3,32,120,20,3,2023-03-07 19:41:00.260213,2023-03-07 19:42:23.892010,83.6317970752716,1.39386328458786,awake,0.8128243527772011,0.8128243527772011,1.0,0.8967491544693502,0.0,0.5,"[[0 25247]
 [0 109637]]",0.0,25247.0,0.0,109637.0
LSTM,128,3,32,120,20,3,2023-03-07 19:41:00.260213,2023-03-07 19:42:23.892010,83.6317970752716,1.39386328458786,asleep,0.8145295216630586,0.0,0.0,0.0,0.0,0.5,"[[109867 0]
 [25017 0]]",109867.0,0.0,25017.0,0.0
LSTM,128,3,32,120,20,3,2023-03-07 19:41:00.260213,2023-03-07 19:42:23.892010,83.6317970752716,1.39386328458786,avg,0.8136769372201298,0.40641217638860055,0.5,0.4483745772346751,0.0,0.5,,,,,
LSTM,128,3,32,120,20,4,2023-03-07 19:42:24.592657,2023-03-07 19:43:48.196638,83.6039810180664,1.39339968363444,awake,0.8128021114439073,0.8128294668475722,0.9999543949579065,0.896733929345559,5.4632299857027e-05,0.5000168061453295,"[[2 25245]
 [5 109632]]",2.0,25245.0,5.0,109632.0
LSTM,128,3,32,120,20,4,2023-03-07 19:42:24.592657,2023-03-07 19:43:48.196638,83.6039810180664,1.39339968363444,asleep,0.8145072803297648,0.2857142857142857,7.994563696686254e-05,0.00015984654731457805,5.608851270655357e-05,0.5000172180331521,"[[109862 5]
 [25015 2]]",109862.0,5.0,25015.0,2.0
LSTM,128,3,32,120,20,4,2023-03-07 19:42:24.592657,2023-03-07 19:43:48.196638,83.6039810180664,1.39339968363444,avg,0.813654695886836,0.549271876280929,0.5000171702974366,0.4484468879464368,5.5360406281790286e-05,0.5000170120892409,,,,,
LSTM,128,3,32,120,20,5,2023-03-07 19:43:48.904663,2023-03-07 19:45:12.891900,83.98723697662354,1.3997872829437257,awake,0.8128021114439073,0.8128294668475722,0.9999543949579065,0.896733929345559,5.4632299857027e-05,0.5000168061453295,"[[2 25245]
 [5 109632]]",2.0,25245.0,5.0,109632.0
LSTM,128,3,32,120,20,5,2023-03-07 19:43:48.904663,2023-03-07 19:45:12.891900,83.98723697662354,1.3997872829437257,asleep,0.8145072803297648,0.2857142857142857,7.994563696686254e-05,0.00015984654731457805,5.608851270655357e-05,0.5000172180331521,"[[109862 5]
 [25015 2]]",109862.0,5.0,25015.0,2.0
LSTM,128,3,32,120,20,5,2023-03-07 19:43:48.904663,2023-03-07 19:45:12.891900,83.98723697662354,1.3997872829437257,avg,0.813654695886836,0.549271876280929,0.5000171702974366,0.4484468879464368,5.5360406281790286e-05,0.5000170120892409,,,,,
LSTM,128,3,32,120,20,6,2023-03-07 19:45:13.600137,2023-03-07 19:46:37.963632,84.36349511146545,1.4060582518577576,awake,0.8128095252216719,0.8128401322716017,0.9999452739494878,0.8967367521297611,0.00016855200665799597,0.5000518543074963,"[[4 25243]
 [6 109631]]",4.0,25243.0,6.0,109631.0
LSTM,128,3,32,120,20,6,2023-03-07 19:45:13.600137,2023-03-07 19:46:37.963632,84.36349511146545,1.4060582518577576,asleep,0.8145146941075294,0.4,0.00015989127393372507,0.00031965477284532707,0.00017146387753252945,0.5000526398945693,"[[109861 6]
 [25013 4]]",109861.0,6.0,25013.0,4.0
LSTM,128,3,32,120,20,6,2023-03-07 19:45:13.600137,2023-03-07 19:46:37.963632,84.36349511146545,1.4060582518577576,avg,0.8136621096646006,0.6064200661358008,0.5000525826117108,0.44852820345130323,0.0001700079420952627,0.5000522471010328,,,,,
LSTM,128,3,32,120,20,7,2023-03-07 19:46:38.672629,2023-03-07 19:48:02.673093,84.00046396255493,1.4000077327092488,awake,0.8128317665549657,0.81285821266247,0.9999452739494878,0.8967477546746936,0.0003616466013287578,0.5001112673070606,"[[7 25240]
 [6 109631]]",7.0,25240.0,6.0,109631.0
LSTM,128,3,32,120,20,7,2023-03-07 19:46:38.672629,2023-03-07 19:48:02.673093,84.00046396255493,1.4000077327092488,asleep,0.8145369354408232,0.5384615384615384,0.00027980972938401884,0.0005593288054334798,0.0003667413533875452,0.5001125991222944,"[[109861 6]
 [25010 7]]",109861.0,6.0,25010.0,7.0
LSTM,128,3,32,120,20,7,2023-03-07 19:46:38.672629,2023-03-07 19:48:02.673093,84.00046396255493,1.4000077327092488,avg,0.8136843509978944,0.6756598755620042,0.500112541839436,0.44865354174006356,0.0003641939773581515,0.5001119332146775,,,,,
LSTM,128,3,32,120,20,8,2023-03-07 19:48:03.383301,2023-03-07 19:49:26.851495,83.46819400787354,1.3911365667978923,awake,0.8128614216660242,0.8128823211015297,0.9999452739494878,0.8967624251545988,0.0006190614187763233,0.500190484639813,"[[11 25236]
 [6 109631]]",11.0,25236.0,6.0,109631.0
LSTM,128,3,32,120,20,8,2023-03-07 19:48:03.383301,2023-03-07 19:49:26.851495,83.46819400787354,1.3911365667978923,asleep,0.8145665905518816,0.6470588235294118,0.00043970100331774394,0.0008788048254374051,0.000627065511277225,0.5001925447592612,"[[109861 6]
 [25006 11]]",109861.0,6.0,25006.0,11.0
LSTM,128,3,32,120,20,8,2023-03-07 19:48:03.383301,2023-03-07 19:49:26.851495,83.46819400787354,1.3911365667978923,avg,0.813714006108953,0.7299705723154708,0.5001924874764028,0.44882061499001813,0.0006230634650267741,0.500191514699537,,,,,
LSTM,128,3,32,120,20,9,2023-03-07 19:49:27.554205,2023-03-07 19:50:51.538994,83.9847891330719,1.3997464855511983,awake,0.8128614216660242,0.8128869610351092,0.9999361529410692,0.8967615806823666,0.00066856964790174,0.5002057284687919,"[[12 25235]
 [7 109630]]",12.0,25235.0,7.0,109630.0
