NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,10,120,20,0,2023-03-08 12:53:28.993580,2023-03-08 12:56:09.693919,160.70033884048462,2.6783389806747437,awake,0.8128243527772011,0.8128243527772011,1.0,0.8967491544693502,0.0,0.5,"[[0 25247]
 [0 109637]]",0.0,25247.0,0.0,109637.0
LSTM,128,3,10,120,20,0,2023-03-08 12:53:28.993580,2023-03-08 12:56:09.693919,160.70033884048462,2.6783389806747437,asleep,0.8145295216630586,0.0,0.0,0.0,0.0,0.5,"[[109867 0]
 [25017 0]]",109867.0,0.0,25017.0,0.0
LSTM,128,3,10,120,20,0,2023-03-08 12:53:28.993580,2023-03-08 12:56:09.693919,160.70033884048462,2.6783389806747437,avg,0.8136769372201298,0.40641217638860055,0.5,0.4483745772346751,0.0,0.5,,,,,
LSTM,128,3,10,120,20,1,2023-03-08 12:56:10.406352,2023-03-08 12:58:40.523713,150.1173610687256,2.501956017812093,awake,0.8128243527772011,0.8128243527772011,1.0,0.8967491544693502,0.0,0.5,"[[0 25247]
 [0 109637]]",0.0,25247.0,0.0,109637.0
LSTM,128,3,10,120,20,1,2023-03-08 12:56:10.406352,2023-03-08 12:58:40.523713,150.1173610687256,2.501956017812093,asleep,0.8145295216630586,0.0,0.0,0.0,0.0,0.5,"[[109867 0]
 [25017 0]]",109867.0,0.0,25017.0,0.0
LSTM,128,3,10,120,20,1,2023-03-08 12:56:10.406352,2023-03-08 12:58:40.523713,150.1173610687256,2.501956017812093,avg,0.8136769372201298,0.40641217638860055,0.5,0.4483745772346751,0.0,0.5,,,,,
LSTM,128,3,10,120,20,2,2023-03-08 12:58:41.238944,2023-03-08 13:01:10.564108,149.32516384124756,2.4887527306874593,awake,0.8127872838883782,0.8128174141267358,0.9999543949579065,0.8967265945786779,-7.412859270150562e-05,0.49997719747895325,"[[0 25247]
 [5 109632]]",0.0,25247.0,5.0,109632.0
LSTM,128,3,10,120,20,2,2023-03-08 12:58:41.238944,2023-03-08 13:01:10.564108,149.32516384124756,2.4887527306874593,asleep,0.8144924527742357,0.0,0.0,0.0,-7.412845774812382e-05,0.49997724521466863,"[[109862 5]
 [25017 0]]",109862.0,5.0,25017.0,0.0
LSTM,128,3,10,120,20,2,2023-03-08 12:58:41.238944,2023-03-08 13:01:10.564108,149.32516384124756,2.4887527306874593,avg,0.8136398683313069,0.4064087070633679,0.49997719747895325,0.44836329728933894,-7.412852522481472e-05,0.49997722134681094,,,,,
LSTM,128,3,10,120,20,3,2023-03-08 13:01:11.283734,2023-03-08 13:03:39.277515,147.99378085136414,2.4665630141894024,awake,0.812772456332849,0.8128146385225057,0.9999361529410692,0.8967175703640691,-0.00010377488710533456,0.4999680764705346,"[[0 25247]
 [7 109630]]",0.0,25247.0,7.0,109630.0
LSTM,128,3,10,120,20,3,2023-03-08 13:01:11.283734,2023-03-08 13:03:39.277515,147.99378085136414,2.4665630141894024,asleep,0.8144776252187065,0.0,0.0,0.0,-0.00010377462262312065,0.4999681433005361,"[[109860 7]
 [25017 0]]",109860.0,7.0,25017.0,0.0
