NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,2,32,4,1,2023-03-10 14:19:09.401453,2023-03-10 14:21:00.039715,110.63826203346252,1.843971033891042,awake,0.8164867589929125,0.8161650774731823,0.9993159243685982,0.8985021137704662,0.03496766635067927,0.7599756237319888,"[[569 24678]
 [75 109562]]",569.0,24678.0,75.0,109562.0
LSTM,128,2,32,4,1,2023-03-10 14:19:09.401453,2023-03-10 14:21:00.039715,110.63826203346252,1.843971033891042,asleep,0.8181622727677115,0.8804347826086957,0.02266458808010553,0.044191574763259425,0.03521005464220739,0.7602295506819113,"[[109790 77]
 [24450 567]]",109790.0,77.0,24450.0,567.0
LSTM,128,2,32,4,1,2023-03-10 14:19:09.401453,2023-03-10 14:21:00.039715,110.63826203346252,1.843971033891042,avg,0.817324515880312,0.8482999300409391,0.5109902562243519,0.4713468442668628,0.03508886049644333,0.76010258720695,,,,,
LSTM,128,7,32,4,1,2023-03-10 14:21:00.755634,2023-03-10 14:26:59.496617,358.7409830093384,5.979016383488973,awake,0.8162791732155037,0.8169390743120089,0.9974917226848601,0.8982320691566908,0.04256359755124228,0.773007369730366,"[[741 24506]
 [275 109362]]",741.0,24506.0,275.0,109362.0
LSTM,128,7,32,4,1,2023-03-10 14:21:00.755634,2023-03-10 14:26:59.496617,358.7409830093384,5.979016383488973,asleep,0.8179546869903028,0.7273622047244095,0.029539912859255706,0.05677409441862252,0.042918563557516554,0.773407540962382,"[[109590 277]
 [24278 739]]",109590.0,277.0,24278.0,739.0
LSTM,128,7,32,4,1,2023-03-10 14:21:00.755634,2023-03-10 14:26:59.496617,358.7409830093384,5.979016383488973,avg,0.8171169301029033,0.7721506395182092,0.5135158177720579,0.47750308178765666,0.04274108055437942,0.7732074553463739,,,,,
LSTM,128,15,32,4,1,2023-03-10 14:27:00.214011,2023-03-10 14:39:56.269069,776.0550580024719,12.934250966707866,awake,0.8196672696539249,0.834128382877061,0.9712870654979614,0.8974977033484758,0.1827589969052369,0.7923142736033575,"[[4071 21176]
 [3148 106489]]",4071.0,21176.0,3148.0,106489.0
LSTM,128,15,32,4,1,2023-03-10 14:27:00.214011,2023-03-10 14:39:56.269069,776.0550580024719,12.934250966707866,asleep,0.8212241629844904,0.5625432885441197,0.1623296158612144,0.2519543367663482,0.18418514750466675,0.7926935041194569,"[[106709 3158]
 [20956 4061]]",106709.0,3158.0,20956.0,4061.0
LSTM,128,15,32,4,1,2023-03-10 14:27:00.214011,2023-03-10 14:39:56.269069,776.0550580024719,12.934250966707866,avg,0.8204457163192076,0.6983358357105904,0.5668083406795879,0.574726020057412,0.18347207220495182,0.7925038888614072,,,,,
LSTM,128,30,32,4,1,2023-03-10 14:39:56.991741,2023-03-10 15:05:18.181504,1521.1897630691528,25.353162717819213,awake,0.8258800154206577,0.8323496053514802,0.9839743882083604,0.9018332594902317,0.1772951371075182,0.8037496001737301,"[[3518 21729]
 [1757 107880]]",3518.0,21729.0,1757.0,107880.0
LSTM,128,30,32,4,1,2023-03-10 14:39:56.991741,2023-03-10 15:05:18.181504,1521.1897630691528,25.353162717819213,asleep,0.827422081195694,0.6648341232227488,0.14018467442139346,0.2315462828469563,0.17848015977662746,0.8040009462628916,"[[108099 1768]
 [21510 3507]]",108099.0,1768.0,21510.0,3507.0
LSTM,128,30,32,4,1,2023-03-10 14:39:56.991741,2023-03-10 15:05:18.181504,1521.1897630691528,25.353162717819213,avg,0.8266510483081759,0.7485918642871146,0.5620795313148769,0.566689771168594,0.17788764844207283,0.8038752732183109,,,,,
LSTM,128,50,32,4,1,2023-03-10 15:05:18.894234,2023-03-10 15:46:35.557775,2476.6635410785675,41.27772568464279,awake,0.8118902167788619,0.8312264150943396,0.9643824621250126,0.8928672462495303,0.155766592156088,0.7816641725776672,"[[3779 21468]
 [3905 105732]]",3779.0,21468.0,3905.0,105732.0
LSTM,128,50,32,4,1,2023-03-10 15:05:18.894234,2023-03-10 15:46:35.557775,2476.6635410785675,41.27772568464279,asleep,0.8133877998873106,0.48997917751171266,0.1504976615901187,0.2302681875172013,0.15676990172375227,0.7818525719130176,"[[105948 3919]
 [21252 3765]]",105948.0,3919.0,21252.0,3765.0
LSTM,128,50,32,4,1,2023-03-10 15:05:18.894234,2023-03-10 15:46:35.557775,2476.6635410785675,41.27772568464279,avg,0.8126390083330862,0.6606027963030261,0.5574400618575657,0.5615677168833658,0.15626824693992014,0.7817583722453424,,,,,
LSTM,128,100,32,4,1,2023-03-10 15:46:36.271639,2023-03-10 17:09:01.132477,4944.860837936401,82.41434729894003,awake,0.8102740132261795,0.8286127619643415,0.9664894150697301,0.8922561332451993,0.13628666511322785,0.75360720953436,"[[3330 21917]
 [3674 105963]]",3330.0,21917.0,3674.0,105963.0
LSTM,128,100,32,4,1,2023-03-10 15:46:36.271639,2023-03-10 17:09:01.132477,4944.860837936401,82.41434729894003,asleep,0.8118160790012159,0.4738720731010851,0.13266978454650838,0.20730145841791323,0.1373054825842065,0.7541055434903319,"[[106182 3685]
 [21698 3319]]",106182.0,3685.0,21698.0,3319.0
LSTM,128,100,32,4,1,2023-03-10 15:46:36.271639,2023-03-10 17:09:01.132477,4944.860837936401,82.41434729894003,avg,0.8110450461136978,0.6512424175327133,0.5495795998081192,0.5497787958315562,0.13679607384871717,0.7538563765123459,,,,,
